[2025-04-28 16:28:31] Step 258000/300000, Elapsed: 2153.64 sec
[2025-04-28 16:28:56] Step 261000/300000, Elapsed: 2178.48 sec
[2025-04-28 16:29:22] Step 264000/300000, Elapsed: 2204.41 sec
[2025-04-28 16:29:47] Step 267000/300000, Elapsed: 2229.32 sec
[2025-04-28 16:30:12] Step 270000/300000, Elapsed: 2253.83 sec
[2025-04-28 16:30:36] Step 273000/300000, Elapsed: 2278.45 sec
[2025-04-28 16:31:01] Step 276000/300000, Elapsed: 2303.07 sec
[2025-04-28 16:31:25] Step 279000/300000, Elapsed: 2327.77 sec
[2025-04-28 16:31:50] Step 282000/300000, Elapsed: 2352.63 sec
[2025-04-28 16:32:15] Step 285000/300000, Elapsed: 2377.39 sec
[2025-04-28 16:32:40] Step 288000/300000, Elapsed: 2402.30 sec
[2025-04-28 16:33:04] Step 291000/300000, Elapsed: 2426.79 sec
[2025-04-28 16:33:29] Step 294000/300000, Elapsed: 2451.17 sec
[2025-04-28 16:33:53] Step 297000/300000, Elapsed: 2475.52 sec
[2025-04-28 16:34:18] Step 300000/300000, Elapsed: 2499.90 sec
