[2025-05-01 23:55:31] Step 30000/3000000, Elapsed: 114.17 sec
[2025-05-01 23:57:35] Step 60000/3000000, Elapsed: 238.58 sec
[2025-05-02 00:00:25] Step 90000/3000000, Elapsed: 407.79 sec
[2025-05-02 00:03:25] Step 120000/3000000, Elapsed: 587.78 sec
[2025-05-02 00:06:26] Step 150000/3000000, Elapsed: 769.00 sec
[2025-05-02 00:09:10] Step 180000/3000000, Elapsed: 932.93 sec
[2025-05-02 00:11:59] Step 210000/3000000, Elapsed: 1102.29 sec
[2025-05-02 00:14:39] Step 240000/3000000, Elapsed: 1262.42 sec
[2025-05-02 00:17:37] Step 270000/3000000, Elapsed: 1440.66 sec
[2025-05-02 00:20:29] Step 300000/3000000, Elapsed: 1612.29 sec
[2025-05-02 00:23:06] Step 330000/3000000, Elapsed: 1769.57 sec
[2025-05-02 00:26:03] Step 360000/3000000, Elapsed: 1946.70 sec
[2025-05-02 00:29:03] Step 390000/3000000, Elapsed: 2126.55 sec
[2025-05-02 00:32:03] Step 420000/3000000, Elapsed: 2306.08 sec
[2025-05-02 00:35:03] Step 450000/3000000, Elapsed: 2485.72 sec
[2025-05-02 00:38:03] Step 480000/3000000, Elapsed: 2665.81 sec
[2025-05-02 00:40:59] Step 510000/3000000, Elapsed: 2842.16 sec
[2025-05-02 00:43:58] Step 540000/3000000, Elapsed: 3021.55 sec
[2025-05-02 00:46:58] Step 570000/3000000, Elapsed: 3201.28 sec
[2025-05-02 00:49:57] Step 600000/3000000, Elapsed: 3380.64 sec
[2025-05-02 00:52:57] Step 630000/3000000, Elapsed: 3560.56 sec
[2025-05-02 00:55:57] Step 660000/3000000, Elapsed: 3740.00 sec
[2025-05-02 00:58:57] Step 690000/3000000, Elapsed: 3920.23 sec
[2025-05-02 01:01:57] Step 720000/3000000, Elapsed: 4100.11 sec
[2025-05-02 01:04:57] Step 750000/3000000, Elapsed: 4280.05 sec
[2025-05-02 01:07:57] Step 780000/3000000, Elapsed: 4460.00 sec
[2025-05-02 01:10:57] Step 810000/3000000, Elapsed: 4640.39 sec
[2025-05-02 01:13:58] Step 840000/3000000, Elapsed: 4821.29 sec
[2025-05-02 01:16:59] Step 870000/3000000, Elapsed: 5001.82 sec
[2025-05-02 01:19:59] Step 900000/3000000, Elapsed: 5182.55 sec
[2025-05-02 01:23:00] Step 930000/3000000, Elapsed: 5363.27 sec
[2025-05-02 01:26:02] Step 960000/3000000, Elapsed: 5545.16 sec
