[2025-05-01 22:34:34] Step 258000/300000, Elapsed: 1433.89 sec
[2025-05-01 22:34:52] Step 261000/300000, Elapsed: 1451.82 sec
[2025-05-01 22:35:10] Step 264000/300000, Elapsed: 1469.85 sec
[2025-05-01 22:35:29] Step 267000/300000, Elapsed: 1488.10 sec
[2025-05-01 22:35:47] Step 270000/300000, Elapsed: 1506.22 sec
[2025-05-01 22:36:05] Step 273000/300000, Elapsed: 1524.21 sec
[2025-05-01 22:36:24] Step 276000/300000, Elapsed: 1543.34 sec
[2025-05-01 22:36:42] Step 279000/300000, Elapsed: 1561.51 sec
[2025-05-01 22:37:00] Step 282000/300000, Elapsed: 1579.43 sec
[2025-05-01 22:37:18] Step 285000/300000, Elapsed: 1597.68 sec
[2025-05-01 22:37:39] Step 288000/300000, Elapsed: 1618.26 sec
[2025-05-01 22:37:58] Step 291000/300000, Elapsed: 1637.45 sec
[2025-05-01 22:38:17] Step 294000/300000, Elapsed: 1656.44 sec
[2025-05-01 22:38:36] Step 297000/300000, Elapsed: 1675.89 sec
[2025-05-01 22:38:56] Step 300000/300000, Elapsed: 1695.05 sec
