[2025-04-28 15:05:56] Step 3000/300000, Elapsed: 13.74 sec
[2025-04-28 15:06:11] Step 6000/300000, Elapsed: 29.26 sec
[2025-04-28 15:06:29] Step 9000/300000, Elapsed: 46.65 sec
[2025-04-28 15:06:49] Step 12000/300000, Elapsed: 66.95 sec
[2025-04-28 15:07:07] Step 15000/300000, Elapsed: 85.32 sec
[2025-04-28 15:07:30] Step 18000/300000, Elapsed: 108.29 sec
[2025-04-28 15:07:53] Step 21000/300000, Elapsed: 130.67 sec
[2025-04-28 15:08:20] Step 24000/300000, Elapsed: 158.30 sec
[2025-04-28 15:08:42] Step 27000/300000, Elapsed: 179.87 sec
[2025-04-28 15:09:03] Step 30000/300000, Elapsed: 200.61 sec
[2025-04-28 15:09:23] Step 33000/300000, Elapsed: 220.66 sec
[2025-04-28 15:09:43] Step 36000/300000, Elapsed: 241.17 sec
[2025-04-28 15:10:14] Step 39000/300000, Elapsed: 271.70 sec
[2025-04-28 15:10:46] Step 42000/300000, Elapsed: 304.55 sec
[2025-04-28 15:11:25] Step 45000/300000, Elapsed: 343.04 sec
[2025-04-28 15:12:02] Step 48000/300000, Elapsed: 379.83 sec
[2025-04-28 15:12:37] Step 51000/300000, Elapsed: 415.41 sec
[2025-04-28 15:13:09] Step 54000/300000, Elapsed: 447.31 sec
[2025-04-28 15:13:41] Step 57000/300000, Elapsed: 479.00 sec
[2025-04-28 15:14:11] Step 60000/300000, Elapsed: 508.76 sec
[2025-04-28 15:14:39] Step 63000/300000, Elapsed: 537.37 sec
[2025-04-28 15:15:08] Step 66000/300000, Elapsed: 565.65 sec
[2025-04-28 15:15:38] Step 69000/300000, Elapsed: 596.32 sec
[2025-04-28 15:16:10] Step 72000/300000, Elapsed: 627.96 sec
[2025-04-28 15:16:41] Step 75000/300000, Elapsed: 659.55 sec
[2025-04-28 15:17:13] Step 78000/300000, Elapsed: 691.33 sec
[2025-04-28 15:17:45] Step 81000/300000, Elapsed: 723.08 sec
[2025-04-28 15:18:17] Step 84000/300000, Elapsed: 754.75 sec
[2025-04-28 15:18:48] Step 87000/300000, Elapsed: 786.23 sec
[2025-04-28 15:19:20] Step 90000/300000, Elapsed: 817.62 sec
[2025-04-28 15:19:51] Step 93000/300000, Elapsed: 849.33 sec
[2025-04-28 15:20:23] Step 96000/300000, Elapsed: 881.16 sec
[2025-04-28 15:20:55] Step 99000/300000, Elapsed: 913.00 sec
[2025-04-28 15:21:26] Step 102000/300000, Elapsed: 944.27 sec
[2025-04-28 15:21:58] Step 105000/300000, Elapsed: 975.87 sec
[2025-04-28 15:22:29] Step 108000/300000, Elapsed: 1007.59 sec
[2025-04-28 15:23:01] Step 111000/300000, Elapsed: 1039.41 sec
[2025-04-28 15:23:33] Step 114000/300000, Elapsed: 1071.25 sec
[2025-04-28 15:24:05] Step 117000/300000, Elapsed: 1102.85 sec
[2025-04-28 15:24:36] Step 120000/300000, Elapsed: 1134.56 sec
[2025-04-28 15:25:08] Step 123000/300000, Elapsed: 1166.08 sec
[2025-04-28 15:25:40] Step 126000/300000, Elapsed: 1197.86 sec
[2025-04-28 15:26:12] Step 129000/300000, Elapsed: 1229.80 sec
[2025-04-28 15:26:44] Step 132000/300000, Elapsed: 1261.63 sec
