[2025-05-02 09:31:38] Step 3000/300000, Elapsed: 8.54 sec
[2025-05-02 09:31:47] Step 6000/300000, Elapsed: 17.70 sec
[2025-05-02 09:31:57] Step 9000/300000, Elapsed: 27.46 sec
[2025-05-02 09:32:06] Step 12000/300000, Elapsed: 36.70 sec
[2025-05-02 09:32:16] Step 15000/300000, Elapsed: 46.08 sec
[2025-05-02 09:32:25] Step 18000/300000, Elapsed: 55.85 sec
[2025-05-02 09:32:34] Step 21000/300000, Elapsed: 64.94 sec
[2025-05-02 09:32:44] Step 24000/300000, Elapsed: 74.04 sec
[2025-05-02 09:32:53] Step 27000/300000, Elapsed: 83.38 sec
[2025-05-02 09:33:02] Step 30000/300000, Elapsed: 92.65 sec
[2025-05-02 09:33:14] Step 33000/300000, Elapsed: 104.88 sec
[2025-05-02 09:33:27] Step 36000/300000, Elapsed: 117.83 sec
[2025-05-02 09:33:40] Step 39000/300000, Elapsed: 130.67 sec
[2025-05-02 09:33:54] Step 42000/300000, Elapsed: 144.35 sec
[2025-05-02 09:34:10] Step 45000/300000, Elapsed: 160.60 sec
[2025-05-02 09:34:26] Step 48000/300000, Elapsed: 176.62 sec
[2025-05-02 09:34:43] Step 51000/300000, Elapsed: 193.24 sec
[2025-05-02 09:34:59] Step 54000/300000, Elapsed: 209.37 sec
[2025-05-02 09:35:17] Step 57000/300000, Elapsed: 227.56 sec
[2025-05-02 09:35:36] Step 60000/300000, Elapsed: 246.21 sec
[2025-05-02 09:35:54] Step 63000/300000, Elapsed: 264.76 sec
[2025-05-02 09:36:13] Step 66000/300000, Elapsed: 283.19 sec
[2025-05-02 09:36:29] Step 69000/300000, Elapsed: 299.65 sec
[2025-05-02 09:36:45] Step 72000/300000, Elapsed: 315.78 sec
[2025-05-02 09:37:01] Step 75000/300000, Elapsed: 331.95 sec
[2025-05-02 09:37:18] Step 78000/300000, Elapsed: 348.05 sec
[2025-05-02 09:37:35] Step 81000/300000, Elapsed: 365.36 sec
[2025-05-02 09:37:53] Step 84000/300000, Elapsed: 383.67 sec
[2025-05-02 09:38:11] Step 87000/300000, Elapsed: 401.73 sec
[2025-05-02 09:38:29] Step 90000/300000, Elapsed: 419.68 sec
[2025-05-02 09:38:47] Step 93000/300000, Elapsed: 437.61 sec
[2025-05-02 09:39:05] Step 96000/300000, Elapsed: 455.67 sec
[2025-05-02 09:39:23] Step 99000/300000, Elapsed: 473.76 sec
[2025-05-02 09:39:41] Step 102000/300000, Elapsed: 491.77 sec
[2025-05-02 09:39:59] Step 105000/300000, Elapsed: 509.77 sec
[2025-05-02 09:40:18] Step 108000/300000, Elapsed: 528.24 sec
[2025-05-02 09:40:36] Step 111000/300000, Elapsed: 546.89 sec
[2025-05-02 09:40:55] Step 114000/300000, Elapsed: 565.32 sec
[2025-05-02 09:41:13] Step 117000/300000, Elapsed: 583.80 sec
[2025-05-02 09:41:31] Step 120000/300000, Elapsed: 601.85 sec
[2025-05-02 09:41:50] Step 123000/300000, Elapsed: 620.14 sec
[2025-05-02 09:42:08] Step 126000/300000, Elapsed: 638.47 sec
[2025-05-02 09:42:26] Step 129000/300000, Elapsed: 656.62 sec
[2025-05-02 09:42:45] Step 132000/300000, Elapsed: 675.02 sec
[2025-05-02 09:43:03] Step 135000/300000, Elapsed: 693.22 sec
[2025-05-02 09:43:21] Step 138000/300000, Elapsed: 711.35 sec
[2025-05-02 09:43:40] Step 141000/300000, Elapsed: 730.21 sec
[2025-05-02 09:43:58] Step 144000/300000, Elapsed: 748.30 sec
[2025-05-02 09:44:16] Step 147000/300000, Elapsed: 766.36 sec
[2025-05-02 09:44:34] Step 150000/300000, Elapsed: 784.36 sec
[2025-05-02 09:44:52] Step 153000/300000, Elapsed: 802.49 sec
[2025-05-02 09:45:10] Step 156000/300000, Elapsed: 820.54 sec
[2025-05-02 09:45:28] Step 159000/300000, Elapsed: 838.51 sec
[2025-05-02 09:45:46] Step 162000/300000, Elapsed: 856.71 sec
[2025-05-02 09:46:04] Step 165000/300000, Elapsed: 874.65 sec
[2025-05-02 09:46:22] Step 168000/300000, Elapsed: 892.61 sec
[2025-05-02 09:46:40] Step 171000/300000, Elapsed: 910.95 sec
[2025-05-02 09:46:58] Step 174000/300000, Elapsed: 928.96 sec
[2025-05-02 09:47:16] Step 177000/300000, Elapsed: 946.93 sec
[2025-05-02 09:47:34] Step 180000/300000, Elapsed: 964.93 sec
[2025-05-02 09:47:52] Step 183000/300000, Elapsed: 982.97 sec
[2025-05-02 09:48:11] Step 186000/300000, Elapsed: 1001.00 sec
