[2025-05-01 14:38:38] Step 1000/100000, Elapsed: 2.96 sec
[2025-05-01 14:38:41] Step 2000/100000, Elapsed: 6.28 sec
[2025-05-01 14:38:44] Step 3000/100000, Elapsed: 9.69 sec
[2025-05-01 14:38:48] Step 4000/100000, Elapsed: 13.34 sec
[2025-05-01 14:38:51] Step 5000/100000, Elapsed: 16.75 sec
[2025-05-01 14:38:55] Step 6000/100000, Elapsed: 20.10 sec
[2025-05-01 14:38:58] Step 7000/100000, Elapsed: 23.61 sec
[2025-05-01 14:39:02] Step 8000/100000, Elapsed: 27.01 sec
[2025-05-01 14:39:06] Step 9000/100000, Elapsed: 31.27 sec
[2025-05-01 14:39:10] Step 10000/100000, Elapsed: 35.63 sec
[2025-05-01 14:39:14] Step 11000/100000, Elapsed: 39.88 sec
[2025-05-01 14:39:19] Step 12000/100000, Elapsed: 44.13 sec
[2025-05-01 14:39:23] Step 13000/100000, Elapsed: 48.46 sec
[2025-05-01 14:39:27] Step 14000/100000, Elapsed: 52.78 sec
[2025-05-01 14:39:32] Step 15000/100000, Elapsed: 57.03 sec
[2025-05-01 14:39:36] Step 16000/100000, Elapsed: 61.35 sec
[2025-05-01 14:39:40] Step 17000/100000, Elapsed: 65.62 sec
[2025-05-01 14:39:44] Step 18000/100000, Elapsed: 69.84 sec
[2025-05-01 14:39:49] Step 19000/100000, Elapsed: 74.48 sec
[2025-05-01 14:39:55] Step 20000/100000, Elapsed: 80.09 sec
[2025-05-01 14:40:00] Step 21000/100000, Elapsed: 85.74 sec
[2025-05-01 14:40:06] Step 22000/100000, Elapsed: 91.33 sec
[2025-05-01 14:40:12] Step 23000/100000, Elapsed: 96.93 sec
[2025-05-01 14:40:17] Step 24000/100000, Elapsed: 102.75 sec
[2025-05-01 14:40:23] Step 25000/100000, Elapsed: 108.31 sec
[2025-05-01 14:40:28] Step 26000/100000, Elapsed: 113.82 sec
[2025-05-01 14:40:34] Step 27000/100000, Elapsed: 119.38 sec
[2025-05-01 14:40:40] Step 28000/100000, Elapsed: 125.10 sec
[2025-05-01 14:40:47] Step 29000/100000, Elapsed: 132.45 sec
[2025-05-01 14:40:55] Step 30000/100000, Elapsed: 140.13 sec
[2025-05-01 14:41:02] Step 31000/100000, Elapsed: 146.94 sec
[2025-05-01 14:41:08] Step 32000/100000, Elapsed: 153.83 sec
[2025-05-01 14:41:15] Step 33000/100000, Elapsed: 160.65 sec
[2025-05-01 14:41:22] Step 34000/100000, Elapsed: 167.54 sec
[2025-05-01 14:41:29] Step 35000/100000, Elapsed: 174.46 sec
[2025-05-01 14:41:36] Step 36000/100000, Elapsed: 181.36 sec
[2025-05-01 14:41:43] Step 37000/100000, Elapsed: 188.23 sec
[2025-05-01 14:41:50] Step 38000/100000, Elapsed: 195.16 sec
[2025-05-01 14:41:57] Step 39000/100000, Elapsed: 202.07 sec
[2025-05-01 14:42:04] Step 40000/100000, Elapsed: 209.01 sec
[2025-05-01 14:42:11] Step 41000/100000, Elapsed: 215.94 sec
[2025-05-01 14:42:17] Step 42000/100000, Elapsed: 222.84 sec
[2025-05-01 14:42:24] Step 43000/100000, Elapsed: 229.74 sec
[2025-05-01 14:42:31] Step 44000/100000, Elapsed: 236.68 sec
[2025-05-01 14:42:38] Step 45000/100000, Elapsed: 243.64 sec
[2025-05-01 14:42:45] Step 46000/100000, Elapsed: 250.55 sec
[2025-05-01 14:42:53] Step 47000/100000, Elapsed: 257.98 sec
[2025-05-01 14:42:59] Step 48000/100000, Elapsed: 264.90 sec
[2025-05-01 14:43:06] Step 49000/100000, Elapsed: 271.83 sec
[2025-05-01 14:43:13] Step 50000/100000, Elapsed: 278.76 sec
[2025-05-01 14:43:20] Step 51000/100000, Elapsed: 285.63 sec
[2025-05-01 14:43:27] Step 52000/100000, Elapsed: 292.62 sec
[2025-05-01 14:43:34] Step 53000/100000, Elapsed: 299.43 sec
[2025-05-01 14:43:41] Step 54000/100000, Elapsed: 306.30 sec
[2025-05-01 14:43:48] Step 55000/100000, Elapsed: 313.25 sec
[2025-05-01 14:43:55] Step 56000/100000, Elapsed: 320.15 sec
[2025-05-01 14:44:02] Step 57000/100000, Elapsed: 327.08 sec
[2025-05-01 14:44:09] Step 58000/100000, Elapsed: 334.03 sec
[2025-05-01 14:44:15] Step 59000/100000, Elapsed: 340.92 sec
[2025-05-01 14:44:22] Step 60000/100000, Elapsed: 347.78 sec
[2025-05-01 14:44:29] Step 61000/100000, Elapsed: 354.68 sec
[2025-05-01 14:44:36] Step 62000/100000, Elapsed: 361.65 sec
[2025-05-01 14:44:43] Step 63000/100000, Elapsed: 368.57 sec
[2025-05-01 14:44:50] Step 64000/100000, Elapsed: 375.69 sec
[2025-05-01 14:44:57] Step 65000/100000, Elapsed: 382.78 sec
[2025-05-01 14:45:04] Step 66000/100000, Elapsed: 389.83 sec
[2025-05-01 14:45:12] Step 67000/100000, Elapsed: 396.97 sec
[2025-05-01 14:45:19] Step 68000/100000, Elapsed: 403.95 sec
[2025-05-01 14:45:26] Step 69000/100000, Elapsed: 411.14 sec
[2025-05-01 14:45:38] Step 70000/100000, Elapsed: 423.84 sec
[2025-05-01 14:45:46] Step 71000/100000, Elapsed: 431.55 sec
[2025-05-01 14:45:53] Step 72000/100000, Elapsed: 438.78 sec
[2025-05-01 14:46:01] Step 73000/100000, Elapsed: 446.54 sec
[2025-05-01 14:46:09] Step 74000/100000, Elapsed: 454.35 sec
[2025-05-01 14:46:17] Step 75000/100000, Elapsed: 462.53 sec
[2025-05-01 14:46:24] Step 76000/100000, Elapsed: 469.64 sec
[2025-05-01 14:46:33] Step 77000/100000, Elapsed: 478.42 sec
[2025-05-01 14:46:42] Step 78000/100000, Elapsed: 487.67 sec
[2025-05-01 14:46:51] Step 79000/100000, Elapsed: 496.17 sec
[2025-05-01 14:46:59] Step 80000/100000, Elapsed: 504.61 sec
[2025-05-01 14:47:08] Step 81000/100000, Elapsed: 513.19 sec
[2025-05-01 14:47:15] Step 82000/100000, Elapsed: 520.21 sec
[2025-05-01 14:47:23] Step 83000/100000, Elapsed: 528.28 sec
[2025-05-01 14:47:34] Step 84000/100000, Elapsed: 538.97 sec
[2025-05-01 14:47:42] Step 85000/100000, Elapsed: 547.90 sec
[2025-05-01 14:47:53] Step 86000/100000, Elapsed: 558.02 sec
[2025-05-01 14:48:01] Step 87000/100000, Elapsed: 566.78 sec
[2025-05-01 14:48:12] Step 88000/100000, Elapsed: 577.14 sec
[2025-05-01 14:48:21] Step 89000/100000, Elapsed: 586.41 sec
[2025-05-01 14:48:30] Step 90000/100000, Elapsed: 595.23 sec
