[2025-05-02 16:12:01] Step 3000/300000, Elapsed: 12.18 sec
[2025-05-02 16:12:14] Step 6000/300000, Elapsed: 24.94 sec
[2025-05-02 16:12:30] Step 9000/300000, Elapsed: 40.81 sec
[2025-05-02 16:12:53] Step 12000/300000, Elapsed: 63.64 sec
[2025-05-02 16:13:16] Step 15000/300000, Elapsed: 86.39 sec
[2025-05-02 16:13:41] Step 18000/300000, Elapsed: 111.99 sec
[2025-05-02 16:14:07] Step 21000/300000, Elapsed: 137.75 sec
[2025-05-02 16:14:33] Step 24000/300000, Elapsed: 163.65 sec
[2025-05-02 16:14:59] Step 27000/300000, Elapsed: 189.83 sec
[2025-05-02 16:15:25] Step 30000/300000, Elapsed: 215.89 sec
[2025-05-02 16:15:51] Step 33000/300000, Elapsed: 242.06 sec
[2025-05-02 16:16:17] Step 36000/300000, Elapsed: 268.14 sec
[2025-05-02 16:16:43] Step 39000/300000, Elapsed: 294.20 sec
[2025-05-02 16:17:09] Step 42000/300000, Elapsed: 320.33 sec
[2025-05-02 16:17:36] Step 45000/300000, Elapsed: 346.40 sec
[2025-05-02 16:18:02] Step 48000/300000, Elapsed: 372.52 sec
[2025-05-02 16:18:28] Step 51000/300000, Elapsed: 398.58 sec
[2025-05-02 16:18:54] Step 54000/300000, Elapsed: 424.60 sec
[2025-05-02 16:19:20] Step 57000/300000, Elapsed: 450.81 sec
[2025-05-02 16:19:46] Step 60000/300000, Elapsed: 477.05 sec
[2025-05-02 16:20:12] Step 63000/300000, Elapsed: 503.20 sec
[2025-05-02 16:20:38] Step 66000/300000, Elapsed: 529.06 sec
[2025-05-02 16:21:04] Step 69000/300000, Elapsed: 554.98 sec
[2025-05-02 16:21:30] Step 72000/300000, Elapsed: 580.88 sec
[2025-05-02 16:21:56] Step 75000/300000, Elapsed: 606.90 sec
[2025-05-02 16:22:22] Step 78000/300000, Elapsed: 632.91 sec
[2025-05-02 16:22:48] Step 81000/300000, Elapsed: 659.04 sec
[2025-05-02 16:23:14] Step 84000/300000, Elapsed: 685.12 sec
[2025-05-02 16:23:40] Step 87000/300000, Elapsed: 711.06 sec
[2025-05-02 16:24:06] Step 90000/300000, Elapsed: 736.90 sec
[2025-05-02 16:24:32] Step 93000/300000, Elapsed: 762.63 sec
[2025-05-02 16:24:58] Step 96000/300000, Elapsed: 788.52 sec
[2025-05-02 16:25:23] Step 99000/300000, Elapsed: 814.27 sec
[2025-05-02 16:25:49] Step 102000/300000, Elapsed: 839.83 sec
[2025-05-02 16:26:15] Step 105000/300000, Elapsed: 865.44 sec
[2025-05-02 16:26:40] Step 108000/300000, Elapsed: 890.73 sec
[2025-05-02 16:27:06] Step 111000/300000, Elapsed: 916.57 sec
[2025-05-02 16:27:32] Step 114000/300000, Elapsed: 942.48 sec
[2025-05-02 16:27:57] Step 117000/300000, Elapsed: 967.77 sec
[2025-05-02 16:28:22] Step 120000/300000, Elapsed: 992.93 sec
[2025-05-02 16:28:47] Step 123000/300000, Elapsed: 1017.92 sec
[2025-05-02 16:29:12] Step 126000/300000, Elapsed: 1043.32 sec
[2025-05-02 16:29:37] Step 129000/300000, Elapsed: 1068.34 sec
[2025-05-02 16:30:03] Step 132000/300000, Elapsed: 1094.02 sec
[2025-05-02 16:30:28] Step 135000/300000, Elapsed: 1119.35 sec
[2025-05-02 16:30:54] Step 138000/300000, Elapsed: 1145.18 sec
[2025-05-02 16:31:20] Step 141000/300000, Elapsed: 1171.25 sec
[2025-05-02 16:31:46] Step 144000/300000, Elapsed: 1197.35 sec
[2025-05-02 16:32:12] Step 147000/300000, Elapsed: 1222.93 sec
[2025-05-02 16:32:38] Step 150000/300000, Elapsed: 1248.94 sec
[2025-05-02 16:33:03] Step 153000/300000, Elapsed: 1274.06 sec
[2025-05-02 16:33:29] Step 156000/300000, Elapsed: 1299.53 sec
[2025-05-02 16:33:54] Step 159000/300000, Elapsed: 1324.54 sec
[2025-05-02 16:34:19] Step 162000/300000, Elapsed: 1349.65 sec
[2025-05-02 16:34:45] Step 165000/300000, Elapsed: 1375.74 sec
[2025-05-02 16:35:11] Step 168000/300000, Elapsed: 1401.70 sec
[2025-05-02 16:35:36] Step 171000/300000, Elapsed: 1427.25 sec
[2025-05-02 16:36:02] Step 174000/300000, Elapsed: 1452.50 sec
[2025-05-02 16:36:27] Step 177000/300000, Elapsed: 1478.01 sec
[2025-05-02 16:36:53] Step 180000/300000, Elapsed: 1503.85 sec
[2025-05-02 16:37:19] Step 183000/300000, Elapsed: 1529.79 sec
[2025-05-02 16:37:45] Step 186000/300000, Elapsed: 1555.74 sec
[2025-05-02 16:38:11] Step 189000/300000, Elapsed: 1581.64 sec
[2025-05-02 16:38:37] Step 192000/300000, Elapsed: 1607.61 sec
[2025-05-02 16:39:03] Step 195000/300000, Elapsed: 1633.46 sec
[2025-05-02 16:39:29] Step 198000/300000, Elapsed: 1659.67 sec
[2025-05-02 16:39:55] Step 201000/300000, Elapsed: 1685.65 sec
[2025-05-02 16:40:20] Step 204000/300000, Elapsed: 1711.25 sec
[2025-05-02 16:40:46] Step 207000/300000, Elapsed: 1736.43 sec
[2025-05-02 16:41:11] Step 210000/300000, Elapsed: 1761.86 sec
[2025-05-02 16:41:37] Step 213000/300000, Elapsed: 1787.52 sec
[2025-05-02 16:42:02] Step 216000/300000, Elapsed: 1812.50 sec
[2025-05-02 16:42:27] Step 219000/300000, Elapsed: 1837.92 sec
[2025-05-02 16:42:52] Step 222000/300000, Elapsed: 1863.03 sec
[2025-05-02 16:43:18] Step 225000/300000, Elapsed: 1888.80 sec
[2025-05-02 16:43:43] Step 228000/300000, Elapsed: 1914.36 sec
[2025-05-02 16:44:09] Step 231000/300000, Elapsed: 1940.02 sec
[2025-05-02 16:44:35] Step 234000/300000, Elapsed: 1965.82 sec
[2025-05-02 16:45:00] Step 237000/300000, Elapsed: 1991.24 sec
[2025-05-02 16:45:26] Step 240000/300000, Elapsed: 2016.84 sec
[2025-05-02 16:45:52] Step 243000/300000, Elapsed: 2042.49 sec
[2025-05-02 16:46:17] Step 246000/300000, Elapsed: 2067.93 sec
