[2025-04-30 13:52:41] Step 1000/100000, Elapsed: 4.87 sec
[2025-04-30 13:52:45] Step 2000/100000, Elapsed: 9.73 sec
[2025-04-30 13:52:50] Step 3000/100000, Elapsed: 14.65 sec
[2025-04-30 13:52:55] Step 4000/100000, Elapsed: 19.44 sec
[2025-04-30 13:53:00] Step 5000/100000, Elapsed: 24.26 sec
[2025-04-30 13:53:05] Step 6000/100000, Elapsed: 29.08 sec
[2025-04-30 13:53:10] Step 7000/100000, Elapsed: 33.89 sec
[2025-04-30 13:53:14] Step 8000/100000, Elapsed: 38.72 sec
[2025-04-30 13:53:19] Step 9000/100000, Elapsed: 43.47 sec
[2025-04-30 13:53:24] Step 10000/100000, Elapsed: 48.32 sec
[2025-04-30 13:53:29] Step 11000/100000, Elapsed: 53.13 sec
[2025-04-30 13:53:34] Step 12000/100000, Elapsed: 57.91 sec
[2025-04-30 13:53:38] Step 13000/100000, Elapsed: 62.73 sec
[2025-04-30 13:53:43] Step 14000/100000, Elapsed: 67.47 sec
[2025-04-30 13:53:48] Step 15000/100000, Elapsed: 72.37 sec
[2025-04-30 13:53:53] Step 16000/100000, Elapsed: 77.30 sec
[2025-04-30 13:53:58] Step 17000/100000, Elapsed: 82.28 sec
[2025-04-30 13:54:03] Step 18000/100000, Elapsed: 87.11 sec
[2025-04-30 13:54:08] Step 19000/100000, Elapsed: 91.96 sec
[2025-04-30 13:54:12] Step 20000/100000, Elapsed: 96.76 sec
[2025-04-30 13:54:17] Step 21000/100000, Elapsed: 101.56 sec
[2025-04-30 13:54:22] Step 22000/100000, Elapsed: 106.36 sec
[2025-04-30 13:54:27] Step 23000/100000, Elapsed: 111.14 sec
[2025-04-30 13:54:32] Step 24000/100000, Elapsed: 115.95 sec
[2025-04-30 13:54:36] Step 25000/100000, Elapsed: 120.72 sec
[2025-04-30 13:54:41] Step 26000/100000, Elapsed: 125.47 sec
[2025-04-30 13:54:46] Step 27000/100000, Elapsed: 130.47 sec
[2025-04-30 13:54:51] Step 28000/100000, Elapsed: 135.27 sec
[2025-04-30 13:54:56] Step 29000/100000, Elapsed: 140.22 sec
[2025-04-30 13:55:01] Step 30000/100000, Elapsed: 145.24 sec
[2025-04-30 13:55:06] Step 31000/100000, Elapsed: 150.05 sec
[2025-04-30 13:55:11] Step 32000/100000, Elapsed: 154.99 sec
[2025-04-30 13:55:16] Step 33000/100000, Elapsed: 159.95 sec
[2025-04-30 13:55:20] Step 34000/100000, Elapsed: 164.73 sec
[2025-04-30 13:55:25] Step 35000/100000, Elapsed: 169.57 sec
[2025-04-30 13:55:30] Step 36000/100000, Elapsed: 174.49 sec
[2025-04-30 13:55:35] Step 37000/100000, Elapsed: 179.38 sec
[2025-04-30 13:55:40] Step 38000/100000, Elapsed: 184.25 sec
[2025-04-30 13:55:45] Step 39000/100000, Elapsed: 189.18 sec
[2025-04-30 13:55:50] Step 40000/100000, Elapsed: 194.13 sec
[2025-04-30 13:55:55] Step 41000/100000, Elapsed: 198.97 sec
[2025-04-30 13:56:00] Step 42000/100000, Elapsed: 203.95 sec
[2025-04-30 13:56:05] Step 43000/100000, Elapsed: 208.83 sec
[2025-04-30 13:56:10] Step 44000/100000, Elapsed: 213.91 sec
[2025-04-30 13:56:17] Step 45000/100000, Elapsed: 221.24 sec
[2025-04-30 13:56:23] Step 46000/100000, Elapsed: 227.52 sec
[2025-04-30 13:56:31] Step 47000/100000, Elapsed: 235.02 sec
[2025-04-30 13:56:37] Step 48000/100000, Elapsed: 241.29 sec
[2025-04-30 13:56:44] Step 49000/100000, Elapsed: 248.03 sec
[2025-04-30 13:56:49] Step 50000/100000, Elapsed: 253.70 sec
[2025-04-30 13:56:55] Step 51000/100000, Elapsed: 259.23 sec
[2025-04-30 13:57:00] Step 52000/100000, Elapsed: 264.65 sec
[2025-04-30 13:57:06] Step 53000/100000, Elapsed: 270.38 sec
[2025-04-30 13:57:11] Step 54000/100000, Elapsed: 275.46 sec
[2025-04-30 13:57:17] Step 55000/100000, Elapsed: 281.79 sec
[2025-04-30 13:57:23] Step 56000/100000, Elapsed: 287.39 sec
[2025-04-30 13:57:29] Step 57000/100000, Elapsed: 293.46 sec
[2025-04-30 13:57:35] Step 58000/100000, Elapsed: 299.75 sec
[2025-04-30 13:57:41] Step 59000/100000, Elapsed: 305.42 sec
[2025-04-30 13:57:47] Step 60000/100000, Elapsed: 311.32 sec
[2025-04-30 13:57:53] Step 61000/100000, Elapsed: 317.29 sec
[2025-04-30 13:57:59] Step 62000/100000, Elapsed: 323.50 sec
[2025-04-30 13:58:06] Step 63000/100000, Elapsed: 329.85 sec
[2025-04-30 13:58:12] Step 64000/100000, Elapsed: 335.98 sec
[2025-04-30 13:58:18] Step 65000/100000, Elapsed: 342.30 sec
[2025-04-30 13:58:24] Step 66000/100000, Elapsed: 348.37 sec
[2025-04-30 13:58:30] Step 67000/100000, Elapsed: 354.25 sec
[2025-04-30 13:58:36] Step 68000/100000, Elapsed: 360.59 sec
[2025-04-30 13:58:42] Step 69000/100000, Elapsed: 366.57 sec
[2025-04-30 13:58:48] Step 70000/100000, Elapsed: 372.60 sec
[2025-04-30 13:58:55] Step 71000/100000, Elapsed: 379.15 sec
[2025-04-30 13:59:01] Step 72000/100000, Elapsed: 384.90 sec
[2025-04-30 13:59:06] Step 73000/100000, Elapsed: 390.65 sec
[2025-04-30 13:59:12] Step 74000/100000, Elapsed: 396.33 sec
[2025-04-30 13:59:18] Step 75000/100000, Elapsed: 402.14 sec
[2025-04-30 13:59:23] Step 76000/100000, Elapsed: 407.71 sec
[2025-04-30 13:59:29] Step 77000/100000, Elapsed: 413.60 sec
[2025-04-30 13:59:35] Step 78000/100000, Elapsed: 419.16 sec
[2025-04-30 13:59:41] Step 79000/100000, Elapsed: 425.12 sec
[2025-04-30 13:59:47] Step 80000/100000, Elapsed: 431.01 sec
[2025-04-30 13:59:53] Step 81000/100000, Elapsed: 437.08 sec
[2025-04-30 13:59:58] Step 82000/100000, Elapsed: 442.55 sec
[2025-04-30 14:00:04] Step 83000/100000, Elapsed: 448.00 sec
[2025-04-30 14:00:10] Step 84000/100000, Elapsed: 454.13 sec
[2025-04-30 14:00:16] Step 85000/100000, Elapsed: 460.32 sec
[2025-04-30 14:00:22] Step 86000/100000, Elapsed: 466.72 sec
[2025-04-30 14:00:28] Step 87000/100000, Elapsed: 472.08 sec
[2025-04-30 14:00:33] Step 88000/100000, Elapsed: 477.19 sec
[2025-04-30 14:00:38] Step 89000/100000, Elapsed: 482.10 sec
[2025-04-30 14:00:43] Step 90000/100000, Elapsed: 486.93 sec
[2025-04-30 14:00:48] Step 91000/100000, Elapsed: 491.90 sec
[2025-04-30 14:00:52] Step 92000/100000, Elapsed: 496.81 sec
[2025-04-30 14:00:57] Step 93000/100000, Elapsed: 501.77 sec
[2025-04-30 14:01:02] Step 94000/100000, Elapsed: 506.69 sec
[2025-04-30 14:01:07] Step 95000/100000, Elapsed: 511.53 sec
[2025-04-30 14:01:12] Step 96000/100000, Elapsed: 516.36 sec
[2025-04-30 14:01:17] Step 97000/100000, Elapsed: 521.16 sec
[2025-04-30 14:01:22] Step 98000/100000, Elapsed: 526.04 sec
[2025-04-30 14:01:27] Step 99000/100000, Elapsed: 530.91 sec
[2025-04-30 14:01:31] Step 100000/100000, Elapsed: 535.78 sec
