[2025-04-29 14:06:06] Step 5000/500000, Elapsed: 21.47 sec
[2025-04-29 14:06:28] Step 10000/500000, Elapsed: 43.66 sec
[2025-04-29 14:06:51] Step 15000/500000, Elapsed: 65.87 sec
[2025-04-29 14:07:16] Step 20000/500000, Elapsed: 91.23 sec
[2025-04-29 14:07:55] Step 25000/500000, Elapsed: 130.46 sec
[2025-04-29 14:08:34] Step 30000/500000, Elapsed: 169.48 sec
[2025-04-29 14:09:12] Step 35000/500000, Elapsed: 207.23 sec
[2025-04-29 14:09:50] Step 40000/500000, Elapsed: 245.13 sec
[2025-04-29 14:10:27] Step 45000/500000, Elapsed: 282.71 sec
[2025-04-29 14:11:04] Step 50000/500000, Elapsed: 319.18 sec
[2025-04-29 14:11:44] Step 55000/500000, Elapsed: 358.98 sec
[2025-04-29 14:12:21] Step 60000/500000, Elapsed: 396.46 sec
[2025-04-29 14:12:59] Step 65000/500000, Elapsed: 434.12 sec
[2025-04-29 14:13:36] Step 70000/500000, Elapsed: 471.29 sec
[2025-04-29 14:14:14] Step 75000/500000, Elapsed: 508.89 sec
[2025-04-29 14:14:55] Step 80000/500000, Elapsed: 550.75 sec
[2025-04-29 14:15:38] Step 85000/500000, Elapsed: 592.88 sec
[2025-04-29 14:16:20] Step 90000/500000, Elapsed: 635.22 sec
[2025-04-29 14:17:02] Step 95000/500000, Elapsed: 677.41 sec
[2025-04-29 14:17:44] Step 100000/500000, Elapsed: 719.63 sec
[2025-04-29 14:18:27] Step 105000/500000, Elapsed: 761.97 sec
[2025-04-29 14:19:09] Step 110000/500000, Elapsed: 804.22 sec
[2025-04-29 14:19:52] Step 115000/500000, Elapsed: 847.15 sec
[2025-04-29 14:20:33] Step 120000/500000, Elapsed: 888.72 sec
[2025-04-29 14:21:16] Step 125000/500000, Elapsed: 931.30 sec
[2025-04-29 14:21:59] Step 130000/500000, Elapsed: 973.87 sec
[2025-04-29 14:22:40] Step 135000/500000, Elapsed: 1015.51 sec
[2025-04-29 14:23:23] Step 140000/500000, Elapsed: 1057.88 sec
[2025-04-29 14:24:04] Step 145000/500000, Elapsed: 1099.75 sec
[2025-04-29 14:24:46] Step 150000/500000, Elapsed: 1141.54 sec
[2025-04-29 14:25:28] Step 155000/500000, Elapsed: 1183.45 sec
[2025-04-29 14:26:10] Step 160000/500000, Elapsed: 1225.06 sec
[2025-04-29 14:26:51] Step 165000/500000, Elapsed: 1266.66 sec
[2025-04-29 14:27:33] Step 170000/500000, Elapsed: 1308.18 sec
[2025-04-29 14:28:14] Step 175000/500000, Elapsed: 1349.75 sec
[2025-04-29 14:28:56] Step 180000/500000, Elapsed: 1391.71 sec
[2025-04-29 14:29:39] Step 185000/500000, Elapsed: 1434.04 sec
[2025-04-29 14:30:20] Step 190000/500000, Elapsed: 1475.50 sec
[2025-04-29 14:31:02] Step 195000/500000, Elapsed: 1517.46 sec
[2025-04-29 14:31:44] Step 200000/500000, Elapsed: 1559.10 sec
[2025-04-29 14:32:26] Step 205000/500000, Elapsed: 1600.81 sec
[2025-04-29 14:33:07] Step 210000/500000, Elapsed: 1642.34 sec
[2025-04-29 14:33:49] Step 215000/500000, Elapsed: 1684.60 sec
[2025-04-29 14:34:31] Step 220000/500000, Elapsed: 1726.67 sec
[2025-04-29 14:35:14] Step 225000/500000, Elapsed: 1769.04 sec
[2025-04-29 14:35:56] Step 230000/500000, Elapsed: 1811.23 sec
[2025-04-29 14:36:39] Step 235000/500000, Elapsed: 1854.10 sec
[2025-04-29 14:37:21] Step 240000/500000, Elapsed: 1896.77 sec
[2025-04-29 14:38:04] Step 245000/500000, Elapsed: 1939.63 sec
[2025-04-29 14:38:47] Step 250000/500000, Elapsed: 1982.35 sec
[2025-04-29 14:39:30] Step 255000/500000, Elapsed: 2025.20 sec
[2025-04-29 14:40:12] Step 260000/500000, Elapsed: 2067.42 sec
[2025-04-29 14:40:54] Step 265000/500000, Elapsed: 2109.46 sec
[2025-04-29 14:41:36] Step 270000/500000, Elapsed: 2151.53 sec
[2025-04-29 14:42:18] Step 275000/500000, Elapsed: 2193.67 sec
[2025-04-29 14:43:00] Step 280000/500000, Elapsed: 2235.47 sec
[2025-04-29 14:43:42] Step 285000/500000, Elapsed: 2277.44 sec
[2025-04-29 14:44:25] Step 290000/500000, Elapsed: 2319.90 sec
[2025-04-29 14:45:06] Step 295000/500000, Elapsed: 2361.65 sec
[2025-04-29 14:45:48] Step 300000/500000, Elapsed: 2403.20 sec
[2025-04-29 14:46:30] Step 305000/500000, Elapsed: 2445.24 sec
[2025-04-29 14:47:12] Step 310000/500000, Elapsed: 2487.02 sec
[2025-04-29 14:47:54] Step 315000/500000, Elapsed: 2529.20 sec
[2025-04-29 14:48:36] Step 320000/500000, Elapsed: 2571.32 sec
[2025-04-29 14:49:18] Step 325000/500000, Elapsed: 2613.67 sec
