[2025-04-30 14:01:41] Step 1000/100000, Elapsed: 4.70 sec
[2025-04-30 14:01:45] Step 2000/100000, Elapsed: 9.47 sec
[2025-04-30 14:01:50] Step 3000/100000, Elapsed: 14.12 sec
[2025-04-30 14:01:55] Step 4000/100000, Elapsed: 18.78 sec
[2025-04-30 14:02:00] Step 5000/100000, Elapsed: 23.87 sec
[2025-04-30 14:02:05] Step 6000/100000, Elapsed: 28.85 sec
[2025-04-30 14:02:09] Step 7000/100000, Elapsed: 33.56 sec
[2025-04-30 14:02:14] Step 8000/100000, Elapsed: 38.32 sec
[2025-04-30 14:02:19] Step 9000/100000, Elapsed: 43.17 sec
[2025-04-30 14:02:24] Step 10000/100000, Elapsed: 47.98 sec
[2025-04-30 14:02:29] Step 11000/100000, Elapsed: 52.93 sec
[2025-04-30 14:02:34] Step 12000/100000, Elapsed: 57.71 sec
[2025-04-30 14:02:38] Step 13000/100000, Elapsed: 62.52 sec
[2025-04-30 14:02:43] Step 14000/100000, Elapsed: 67.30 sec
[2025-04-30 14:02:48] Step 15000/100000, Elapsed: 72.09 sec
[2025-04-30 14:02:53] Step 16000/100000, Elapsed: 76.87 sec
[2025-04-30 14:02:58] Step 17000/100000, Elapsed: 81.66 sec
[2025-04-30 14:03:03] Step 18000/100000, Elapsed: 86.63 sec
[2025-04-30 14:03:07] Step 19000/100000, Elapsed: 91.42 sec
[2025-04-30 14:03:13] Step 20000/100000, Elapsed: 97.52 sec
[2025-04-30 14:03:20] Step 21000/100000, Elapsed: 103.62 sec
[2025-04-30 14:03:26] Step 22000/100000, Elapsed: 109.92 sec
[2025-04-30 14:03:32] Step 23000/100000, Elapsed: 116.11 sec
[2025-04-30 14:03:38] Step 24000/100000, Elapsed: 122.22 sec
[2025-04-30 14:03:44] Step 25000/100000, Elapsed: 128.27 sec
[2025-04-30 14:03:51] Step 26000/100000, Elapsed: 134.80 sec
[2025-04-30 14:03:57] Step 27000/100000, Elapsed: 140.86 sec
[2025-04-30 14:04:03] Step 28000/100000, Elapsed: 146.85 sec
[2025-04-30 14:04:09] Step 29000/100000, Elapsed: 153.10 sec
[2025-04-30 14:04:15] Step 30000/100000, Elapsed: 159.26 sec
[2025-04-30 14:04:21] Step 31000/100000, Elapsed: 165.39 sec
[2025-04-30 14:04:28] Step 32000/100000, Elapsed: 171.78 sec
