time,stf
-8.000000000000000000e+00,3.635970633947346839e-135
-7.950000000000000178e+00,1.814915275577659929e-133
-7.900000000000000355e+00,8.838346932084034713e-132
-7.850000000000000533e+00,4.199178057231664240e-130
-7.800000000000000711e+00,1.946417250022344583e-128
-7.750000000000000888e+00,8.802091057576514036e-127
-7.700000000000001066e+00,3.883415604467267030e-125
-7.650000000000001243e+00,1.671551756172488216e-123
-7.600000000000001421e+00,7.019457732986002590e-122
-7.550000000000001599e+00,2.875841246254273956e-120
-7.500000000000001776e+00,1.149486009111122944e-118
-7.450000000000001954e+00,4.482494131564007324e-117
-7.400000000000002132e+00,1.705347329141789383e-115
-7.350000000000002309e+00,6.329695947935229487e-114
-7.300000000000002487e+00,2.292078814048121731e-112
-7.250000000000002665e+00,8.097533272854000032e-111
-7.200000000000002842e+00,2.790951101912877938e-109
-7.150000000000003020e+00,9.384859959501354302e-108
-7.100000000000003197e+00,3.078784080143917609e-106
-7.050000000000003375e+00,9.853858311439362210e-105
-7.000000000000003553e+00,3.076867622149521075e-103
-6.950000000000003730e+00,9.373169990765769288e-102
-6.900000000000003908e+00,2.785730616888813384e-100
-6.850000000000004086e+00,8.077304139367786201e-99
-6.800000000000004263e+00,2.284905243430106531e-97
-6.750000000000004441e+00,6.305857182254443588e-96
-6.700000000000004619e+00,1.697829107455336548e-94
-6.650000000000004796e+00,4.459821226035840361e-93
-6.600000000000004974e+00,1.142915891154399459e-91
-6.550000000000005151e+00,2.857486218002276535e-90
-6.500000000000005329e+00,6.969903540718369026e-89
-6.450000000000005507e+00,1.658600646832571656e-87
-6.400000000000005684e+00,3.850605372673744690e-86
-6.350000000000005862e+00,8.721435726908405782e-85
-6.300000000000006040e+00,1.927162817355120799e-83
-6.250000000000006217e+00,4.154511190307310319e-82
-6.200000000000006395e+00,8.737600842745985716e-81
-6.150000000000006573e+00,1.792812376626318262e-79
-6.100000000000006750e+00,3.588785270175030375e-78
-6.050000000000006928e+00,7.008574668201517463e-77
-6.000000000000007105e+00,1.335307012824647277e-75
-5.950000000000007283e+00,2.481997460183180183e-74
-5.900000000000007461e+00,4.500801751988146977e-73
-5.850000000000007638e+00,7.962443078121219511e-72
-5.800000000000007816e+00,1.374264243803293498e-70
-5.750000000000007994e+00,2.313988160499221657e-69
-5.700000000000008171e+00,3.801180673956128093e-68
-5.650000000000008349e+00,6.091747405218708777e-67
-5.600000000000008527e+00,9.524248982839004475e-66
-5.550000000000008704e+00,1.452728779599810350e-64
-5.500000000000008882e+00,2.161736415403161207e-63
-5.450000000000009059e+00,3.138229991333701978e-62
-5.400000000000009237e+00,4.444573023826467797e-61
-5.350000000000009415e+00,6.140984025226463226e-60
-5.300000000000009592e+00,8.277666224675413856e-59
-5.250000000000009770e+00,1.088527065187680041e-57
-5.200000000000009948e+00,1.396468896139153385e-56
-5.150000000000010125e+00,1.747766174601667526e-55
-5.100000000000010303e+00,2.134001457614698279e-54
-5.050000000000010481e+00,2.541936396394338358e-53
-5.000000000000010658e+00,2.953877468086366245e-52
-4.950000000000010836e+00,3.348708296872596305e-51
-4.900000000000011013e+00,3.703551567219307131e-50
-4.850000000000011191e+00,3.995902399406959379e-49
-4.800000000000011369e+00,4.205967178192080771e-48
-4.750000000000011546e+00,4.318873871086133745e-47
-4.700000000000011724e+00,4.326411942445608301e-46
-4.650000000000011902e+00,4.228019298688235622e-45
-4.600000000000012079e+00,4.030851530898273668e-44
-4.550000000000012257e+00,3.748921617136744419e-43
-4.500000000000012434e+00,3.401453722333848278e-42
-4.450000000000012612e+00,3.010719621992308244e-41
-4.400000000000012790e+00,2.599695307764991716e-40
-4.350000000000012967e+00,2.189877324202833650e-39
-4.300000000000013145e+00,1.799538262002630995e-38
-4.250000000000013323e+00,1.442597125004507943e-37
-4.200000000000013500e+00,1.128159189997939350e-36
-4.150000000000013678e+00,8.606680285375246397e-36
-4.100000000000013856e+00,6.405300051867318330e-35
-4.050000000000014033e+00,4.650292983430060285e-34
-4.000000000000014211e+00,3.293492105275290124e-33
-3.950000000000014388e+00,2.275447370181535435e-32
-3.900000000000014566e+00,1.533589539986800867e-31
-3.850000000000014744e+00,1.008281742465873640e-30
-3.800000000000014921e+00,6.466708236566184913e-30
-3.750000000000015099e+00,4.045864445123633115e-29
-3.700000000000015277e+00,2.469244549967725330e-28
-3.650000000000015454e+00,1.470075121877317641e-27
-3.600000000000015632e+00,8.537592920874447436e-27
-3.550000000000015810e+00,4.836704982651508595e-26
-3.500000000000015987e+00,2.672881099398027816e-25
-3.450000000000016165e+00,1.440864397922625508e-24
-3.400000000000016342e+00,7.576653724830581319e-24
-3.350000000000016520e+00,3.886332334918419108e-23
-3.300000000000016698e+00,1.944499272643946491e-22
-3.250000000000016875e+00,9.490258371242997757e-22
-3.200000000000017053e+00,4.518014258076943297e-21
-3.150000000000017231e+00,2.098037392028616693e-20
-3.100000000000017408e+00,9.503235949023201892e-20
-3.050000000000017586e+00,4.198739056699130346e-19
-3.000000000000017764e+00,1.809470815203483694e-18
-2.950000000000017941e+00,7.606163397809542897e-18
-2.900000000000018119e+00,3.118580256929379964e-17
-2.850000000000018296e+00,1.247156683491948108e-16
-2.800000000000018474e+00,4.864669094769360724e-16
-2.750000000000018652e+00,1.850754858725116232e-15
-2.700000000000018829e+00,6.867562836803024622e-15
-2.650000000000019007e+00,2.485473167617005464e-14
-2.600000000000019185e+00,8.773288978652795894e-14
-2.550000000000019362e+00,3.020345249838885203e-13
-2.500000000000019540e+00,1.014109967850137343e-12
-2.450000000000019718e+00,3.320786296807865905e-12
-2.400000000000019895e+00,1.060515183260368789e-11
-2.350000000000020073e+00,3.302973864169225413e-11
-2.300000000000020250e+00,1.003222706007788628e-10
-2.250000000000020428e+00,2.971561096089128076e-10
-2.200000000000020606e+00,8.583365096120129183e-10
-2.150000000000020783e+00,2.417719804196026416e-09
-2.100000000000020961e+00,6.640777503680781594e-09
-2.050000000000021139e+00,1.778626624178594192e-08
-2.000000000000021316e+00,4.645056305779243578e-08
-1.950000000000021494e+00,1.182834480962214985e-07
-1.900000000000021672e+00,2.936764765139551293e-07
-1.850000000000021849e+00,7.109036411299225910e-07
-1.800000000000022027e+00,1.677766772554472649e-06
-1.750000000000022204e+00,3.860229447602316337e-06
-1.700000000000022382e+00,8.658349057830065334e-06
-1.650000000000022560e+00,1.893108113577888043e-05
-1.600000000000022737e+00,4.034687827282480412e-05
-1.550000000000022915e+00,8.381314717022723645e-05
-1.500000000000023093e+00,1.696886860060126351e-04
-1.450000000000023270e+00,3.348111919746054460e-04
-1.400000000000023448e+00,6.437507520824256417e-04
-1.350000000000023626e+00,1.206053647703456523e-03
-1.300000000000023803e+00,2.201417494302879228e-03
-1.250000000000023981e+00,3.914493848321821436e-03
-1.200000000000024158e+00,6.780013210369445487e-03
-1.150000000000024336e+00,1.143679203845088602e-02
-1.100000000000024514e+00,1.878560149707001956e-02
-1.050000000000024691e+00,3.004079251459710123e-02
-1.000000000000024869e+00,4.675940570504970306e-02
-9.500000000000250466e-01,7.082538441880070756e-02
-9.000000000000252243e-01,1.043624149503736137e-01
-8.500000000000254019e-01,1.495494835968728953e-01
-8.000000000000255795e-01,2.083212816807217260e-01
-7.500000000000257572e-01,2.819531795376784000e-01
-7.000000000000259348e-01,3.705577684907848113e-01
-6.500000000000261124e-01,4.725540084473151548e-01
-6.000000000000262901e-01,5.842042410419289178e-01
-5.500000000000264677e-01,6.993390011072568857e-01
-5.000000000000266454e-01,8.093936868081751390e-01
-4.500000000000268230e-01,9.038556490271852928e-01
-4.000000000000270006e-01,9.711617211633675195e-01
-3.500000000000271783e-01,9.999999999999930056e-01
-3.000000000000273559e-01,9.808710160712604820e-01
-2.500000000000275335e-01,9.076753075474016663e-01
-2.000000000000277112e-01,7.790423721694965664e-01
-1.500000000000278888e-01,5.991206796690059511e-01
-1.000000000000280664e-01,3.776183317644196680e-01
-5.000000000002824407e-02,1.290106514425516382e-01
-2.842170943040400743e-14,-1.290106514422607875e-01
4.999999999997140065e-02,-3.776183317641486625e-01
9.999999999997122302e-02,-5.991206796687746916e-01
1.499999999999710454e-01,-7.790423721693201520e-01
1.999999999999708677e-01,-9.076753075472883125e-01
2.499999999999706901e-01,-9.808710160712079684e-01
2.999999999999705125e-01,-1.000000000000000000e+00
3.499999999999703348e-01,-9.711617211634241409e-01
3.999999999999701572e-01,-9.038556490272799948e-01
4.499999999999699796e-01,-8.093936868082926006e-01
4.999999999999698019e-01,-6.993390011073865598e-01
5.499999999999696243e-01,-5.842042410420595910e-01
5.999999999999694467e-01,-4.725540084474377789e-01
6.499999999999692690e-01,-3.705577684908937797e-01
6.999999999999690914e-01,-2.819531795377706596e-01
7.499999999999689138e-01,-2.083212816807964440e-01
7.999999999999687361e-01,-1.495494835969317926e-01
8.499999999999685585e-01,-1.043624149504181059e-01
8.999999999999683808e-01,-7.082538441883302893e-02
9.499999999999682032e-01,-4.675940570507247651e-02
9.999999999999680256e-01,-3.004079251461275191e-02
1.049999999999967848e+00,-1.878560149708030647e-02
1.099999999999967670e+00,-1.143679203845748317e-02
1.149999999999967493e+00,-6.780013210373593210e-03
1.199999999999967315e+00,-3.914493848324315101e-03
1.249999999999967137e+00,-2.201417494304352875e-03
1.299999999999966960e+00,-1.206053647704301984e-03
1.349999999999966782e+00,-6.437507520828939086e-04
1.399999999999966604e+00,-3.348111919748589867e-04
1.449999999999966427e+00,-1.696886860061461546e-04
1.499999999999966249e+00,-8.381314717029581223e-05
1.549999999999966072e+00,-4.034687827285881418e-05
1.599999999999965894e+00,-1.893108113579550938e-05
1.649999999999965716e+00,-8.658349057837861425e-06
1.699999999999965539e+00,-3.860229447605916227e-06
1.749999999999965361e+00,-1.677766772556086882e-06
1.799999999999965183e+00,-7.109036411306279577e-07
1.849999999999965006e+00,-2.936764765142543966e-07
1.899999999999964828e+00,-1.182834480963454300e-07
1.949999999999964650e+00,-4.645056305784246367e-08
1.999999999999964473e+00,-1.778626624180565198e-08
2.049999999999964295e+00,-6.640777503688283295e-09
2.099999999999964118e+00,-2.417719804198846275e-09
2.149999999999963940e+00,-8.583365096130356237e-10
2.199999999999963762e+00,-2.971561096092733549e-10
2.249999999999963585e+00,-1.003222706009038446e-10
2.299999999999963407e+00,-3.302973864173458252e-11
2.349999999999963229e+00,-1.060515183261753024e-11
2.399999999999963052e+00,-3.320786296812301499e-12
2.449999999999962874e+00,-1.014109967851514631e-12
2.499999999999962697e+00,-3.020345249843085225e-13
2.549999999999962519e+00,-8.773288978665316695e-14
2.599999999999962341e+00,-2.485473167620598883e-14
2.649999999999962164e+00,-6.867562836813150441e-15
2.699999999999961986e+00,-1.850754858727898544e-15
2.749999999999961808e+00,-4.864669094776802641e-16
2.799999999999961631e+00,-1.247156683493909413e-16
2.849999999999961453e+00,-3.118580256934301101e-17
2.899999999999961275e+00,-7.606163397821907367e-18
2.949999999999961098e+00,-1.809470815206480441e-18
2.999999999999960920e+00,-4.198739056706167213e-19
3.049999999999960743e+00,-9.503235949039417019e-20
3.099999999999960565e+00,-2.098037392032238043e-20
3.149999999999960387e+00,-4.518014258084871207e-21
3.199999999999960210e+00,-9.490258371259904187e-22
3.249999999999960032e+00,-1.944499272647487315e-22
3.299999999999959854e+00,-3.886332334925572579e-23
3.349999999999959677e+00,-7.576653724844754842e-24
3.399999999999959499e+00,-1.440864397925344941e-24
3.449999999999959321e+00,-2.672881099403195859e-25
3.499999999999959144e+00,-4.836704982660999220e-26
3.549999999999958966e+00,-8.537592920891442743e-27
3.599999999999958789e+00,-1.470075121880284358e-27
3.649999999999958611e+00,-2.469244549972805877e-28
3.699999999999958433e+00,-4.045864445132005593e-29
3.749999999999958256e+00,-6.466708236579752285e-30
3.799999999999958078e+00,-1.008281742468020429e-30
3.849999999999957900e+00,-1.533589539990079906e-31
3.899999999999957723e+00,-2.275447370186504297e-32
3.949999999999957545e+00,-3.293492105282575781e-33
3.999999999999957367e+00,-4.650292983440481074e-34
4.049999999999957190e+00,-6.405300051881853893e-35
4.099999999999957012e+00,-8.606680285395023519e-36
4.149999999999956835e+00,-1.128159190000563838e-36
4.199999999999956657e+00,-1.442597125007908201e-37
4.249999999999956479e+00,-1.799538262006894107e-38
4.299999999999956302e+00,-2.189877324208079995e-39
4.349999999999956124e+00,-2.599695307771336351e-40
4.399999999999955946e+00,-3.010719621999747091e-41
4.449999999999955769e+00,-3.401453722342289754e-42
4.499999999999955591e+00,-3.748921617146221723e-43
4.549999999999955413e+00,-4.030851530908514262e-44
4.599999999999955236e+00,-4.228019298699096651e-45
4.649999999999955058e+00,-4.326411942456846288e-46
4.699999999999954881e+00,-4.318873871097474704e-47
4.749999999999954703e+00,-4.205967178203239658e-48
4.799999999999954525e+00,-3.995902399417743305e-49
4.849999999999954348e+00,-3.703551567229343946e-50
4.899999999999954170e+00,-3.348708296881818875e-51
4.949999999999953992e+00,-2.953877468094589926e-52
4.999999999999953815e+00,-2.541936396401447979e-53
5.049999999999953637e+00,-2.134001457620725160e-54
5.099999999999953459e+00,-1.747766174606680750e-55
5.149999999999953282e+00,-1.396468896143198331e-56
5.199999999999953104e+00,-1.088527065190863962e-57
5.249999999999952927e+00,-8.277666224699864190e-59
5.299999999999952749e+00,-6.140984025244775772e-60
5.349999999999952571e+00,-4.444573023839847640e-61
5.399999999999952394e+00,-3.138229991343239330e-62
5.449999999999952216e+00,-2.161736415409792435e-63
5.499999999999952038e+00,-1.452728779604307905e-64
5.549999999999951861e+00,-9.524248982868779859e-66
5.599999999999951683e+00,-6.091747405237730856e-67
5.649999999999951505e+00,-3.801180673968221147e-68
5.699999999999951328e+00,-2.313988160506653185e-69
5.749999999999951150e+00,-1.374264243807702703e-70
5.799999999999950973e+00,-7.962443078147230763e-72
5.849999999999950795e+00,-4.500801752002985792e-73
5.899999999999950617e+00,-2.481997460191359518e-74
5.949999999999950440e+00,-1.335307012829083380e-75
5.999999999999950262e+00,-7.008574668225213043e-77
6.049999999999950084e+00,-3.588785270187275303e-78
6.099999999999949907e+00,-1.792812376632374029e-79
6.149999999999949729e+00,-8.737600842776283653e-81
6.199999999999949551e+00,-4.154511190321709400e-82
6.249999999999949374e+00,-1.927162817361855098e-83
6.299999999999949196e+00,-8.721435726939120139e-85
6.349999999999949019e+00,-3.850605372687534119e-86
6.399999999999948841e+00,-1.658600646838509386e-87
6.449999999999948663e+00,-6.969903540743511400e-89
6.499999999999948486e+00,-2.857486218012749618e-90
6.549999999999948308e+00,-1.142915891158622402e-91
6.599999999999948130e+00,-4.459821226052313556e-93
6.649999999999947953e+00,-1.697829107461654030e-94
6.699999999999947775e+00,-6.305857182278273194e-96
6.749999999999947597e+00,-2.284905243438806189e-97
6.799999999999947420e+00,-8.077304139398772644e-99
6.849999999999947242e+00,-2.785730616899578318e-100
6.899999999999947065e+00,-9.373169990802268064e-102
6.949999999999946887e+00,-3.076867622161495997e-103
6.999999999999946709e+00,-9.853858311478291053e-105
7.049999999999946532e+00,-3.078784080156075611e-106
7.099999999999946354e+00,-9.384859959538954749e-108
7.149999999999946176e+00,-2.790951101924141640e-109
7.199999999999945999e+00,-8.097533272886680344e-111
7.249999999999945821e+00,-2.292078814057368559e-112
7.299999999999945643e+00,-6.329695947961135926e-114
7.349999999999945466e+00,-1.705347329148766639e-115
7.399999999999945288e+00,-4.482494131582606840e-117
7.449999999999945111e+00,-1.149486009115890990e-118
7.499999999999944933e+00,-2.875841246266370518e-120
7.549999999999944755e+00,-7.019457733015530074e-122
7.599999999999944578e+00,-1.671551756179514778e-123
7.649999999999944400e+00,-3.883415604484043876e-125
7.699999999999944222e+00,-8.802091057614541545e-127
7.749999999999944045e+00,-1.946417250030750898e-128
7.799999999999943867e+00,-4.199178057250038558e-130
7.849999999999943689e+00,-8.838346932123221736e-132
7.899999999999943512e+00,-1.814915275585706974e-133
7.949999999999943334e+00,-3.635970633963463462e-135
