time,stf
-2.000000000000000000e+01,6.947174331681439386e-136
-1.994999999999999929e+01,3.346565279135322799e-135
-1.989999999999999858e+01,1.605734152446983176e-134
-1.984999999999999787e+01,7.674166446450459106e-134
-1.979999999999999716e+01,3.653187787816303422e-133
-1.974999999999999645e+01,1.732191802404660984e-132
-1.969999999999999574e+01,8.180938841808704954e-132
-1.964999999999999503e+01,3.848517665636087847e-131
-1.959999999999999432e+01,1.803295837166112610e-130
-1.954999999999999361e+01,8.416346732926343416e-130
-1.949999999999999289e+01,3.912581408123388628e-129
-1.944999999999999218e+01,1.811699937533479336e-128
-1.939999999999999147e+01,8.355881106897291418e-128
-1.934999999999999076e+01,3.838674785411543370e-127
-1.929999999999999005e+01,1.756521455397771888e-126
-1.924999999999998934e+01,8.005872215118235984e-126
-1.919999999999998863e+01,3.634518551025790278e-125
-1.914999999999998792e+01,1.643494109755542551e-124
-1.909999999999998721e+01,7.402397880096269034e-124
-1.904999999999998650e+01,3.320929783924410953e-123
-1.899999999999998579e+01,1.483986471216102061e-122
-1.894999999999998508e+01,6.605157149676763312e-122
-1.889999999999998437e+01,2.928325280197219764e-121
-1.884999999999998366e+01,1.293118758576823309e-120
-1.879999999999998295e+01,5.687749016935349332e-120
-1.874999999999998224e+01,2.491869746282240918e-119
-1.869999999999998153e+01,1.087409531921463900e-118
-1.864999999999998082e+01,4.726545058160761496e-118
-1.859999999999998010e+01,2.046337774880586408e-117
-1.854999999999997939e+01,8.824572504792840456e-117
-1.849999999999997868e+01,3.790468125401747210e-116
-1.844999999999997797e+01,1.621716084246733069e-115
-1.839999999999997726e+01,6.910979172097099613e-115
-1.834999999999997655e+01,2.933506885372988384e-114
-1.829999999999997584e+01,1.240273287503876672e-113
-1.824999999999997513e+01,5.223124782064072040e-113
-1.819999999999997442e+01,2.190918023363298545e-112
-1.814999999999997371e+01,9.153866036615118627e-112
-1.809999999999997300e+01,3.809479637729372380e-111
-1.804999999999997229e+01,1.579099232445398781e-110
-1.799999999999997158e+01,6.519823393714424983e-110
-1.794999999999997087e+01,2.681296656184936313e-109
-1.789999999999997016e+01,1.098339260747849890e-108
-1.784999999999996945e+01,4.481369328522404576e-108
-1.779999999999996874e+01,1.821241492620524775e-107
-1.774999999999996803e+01,7.372365957089891262e-107
-1.769999999999996732e+01,2.972547239167693694e-106
-1.764999999999996660e+01,1.193804349589566579e-105
-1.759999999999996589e+01,4.775513103190263329e-105
-1.754999999999996518e+01,1.902783592237326833e-104
-1.749999999999996447e+01,7.551638770085068632e-104
-1.744999999999996376e+01,2.985213864269840641e-103
-1.739999999999996305e+01,1.175417372180370441e-102
-1.734999999999996234e+01,4.609896263982564086e-102
-1.729999999999996163e+01,1.800829398599455459e-101
-1.724999999999996092e+01,7.007068164743938341e-101
-1.719999999999996021e+01,2.715704068679088413e-100
-1.714999999999995950e+01,1.048360991037311378e-99
-1.709999999999995879e+01,4.031081236118730705e-99
-1.704999999999995808e+01,1.543883459478385685e-98
-1.699999999999995737e+01,5.889653202660440205e-98
-1.694999999999995666e+01,2.237933384599272222e-97
-1.689999999999995595e+01,8.470065867264898945e-97
-1.684999999999995524e+01,3.193071172635274763e-96
-1.679999999999995453e+01,1.198981733020507854e-95
-1.674999999999995381e+01,4.484341388865814645e-95
-1.669999999999995310e+01,1.670578467984161292e-94
-1.664999999999995239e+01,6.198936378174176768e-94
-1.659999999999995168e+01,2.291129003106043852e-93
-1.654999999999995097e+01,8.434589442287129212e-93
-1.649999999999995026e+01,3.092860770741320613e-92
-1.644999999999994955e+01,1.129636679545784451e-91
-1.639999999999994884e+01,4.109596380676834723e-91
-1.634999999999994813e+01,1.489160471492465951e-90
-1.629999999999994742e+01,5.374842585117372516e-90
-1.624999999999994671e+01,1.932288168067087903e-89
-1.619999999999994600e+01,6.919264142444876293e-89
-1.614999999999994529e+01,2.467912573702948335e-88
-1.609999999999994458e+01,8.767614592316740757e-88
-1.604999999999994387e+01,3.102522392577624123e-87
-1.599999999999994316e+01,1.093528651396502933e-86
-1.594999999999994245e+01,3.839079888981720503e-86
-1.589999999999994174e+01,1.342473890152187034e-85
-1.584999999999994102e+01,4.675910978088655988e-85
-1.579999999999994031e+01,1.622214511163144410e-84
-1.574999999999993960e+01,5.605727256484286213e-84
-1.569999999999993889e+01,1.929466539889313893e-83
-1.564999999999993818e+01,6.614912718422024883e-83
-1.559999999999993747e+01,2.258876749581680280e-82
-1.554999999999993676e+01,7.683205946952151411e-82
-1.549999999999993605e+01,2.602998436720686601e-81
-1.544999999999993534e+01,8.783888303842722855e-81
-1.539999999999993463e+01,2.952440386341528838e-80
-1.534999999999993392e+01,9.884549396409036350e-80
-1.529999999999993321e+01,3.296203307810622334e-79
-1.524999999999993250e+01,1.094844527024519561e-78
-1.519999999999993179e+01,3.622198348977166647e-78
-1.514999999999993108e+01,1.193639796199243918e-77
-1.509999999999993037e+01,3.917920374597929486e-77
-1.504999999999992966e+01,1.280911555911419183e-76
-1.499999999999992895e+01,4.171227462334272221e-76
-1.494999999999992824e+01,1.352974968343651481e-75
-1.489999999999992752e+01,4.371160741788215011e-75
-1.484999999999992681e+01,1.406646231470412090e-74
-1.479999999999992610e+01,4.508728228833367418e-74
-1.474999999999992539e+01,1.439475434056848948e-73
-1.469999999999992468e+01,4.577574820567047007e-73
-1.464999999999992397e+01,1.449931904102139918e-72
-1.459999999999992326e+01,4.574468980160392540e-72
-1.454999999999992255e+01,1.437522528049530085e-71
-1.449999999999992184e+01,4.499554210409900069e-71
-1.444999999999992113e+01,1.402830303781891905e-70
-1.439999999999992042e+01,4.356338062698118479e-70
-1.434999999999991971e+01,1.347468929759893479e-69
-1.429999999999991900e+01,4.151419853556314554e-69
-1.424999999999991829e+01,1.273958356530394148e-68
-1.419999999999991758e+01,3.893986526633224144e-68
-1.414999999999991687e+01,1.185534667186883374e-67
-1.409999999999991616e+01,3.595130292685462294e-67
-1.404999999999991545e+01,1.085914257431335406e-66
-1.399999999999991473e+01,3.267058577751865778e-66
-1.394999999999991402e+01,9.790362076682403882e-66
-1.389999999999991331e+01,2.922274390625498205e-65
-1.384999999999991260e+01,8.688075709287099759e-65
-1.379999999999991189e+01,2.572802960795714305e-64
-1.374999999999991118e+01,7.588741183052648479e-64
-1.369999999999991047e+01,2.229529374034982726e-63
-1.364999999999990976e+01,6.524344078062443115e-63
-1.359999999999990905e+01,1.901694160884941171e-62
-1.354999999999990834e+01,5.521087178963080078e-62
-1.349999999999990763e+01,1.596572367617283423e-61
-1.344999999999990692e+01,4.598674177847927937e-61
