time,stf
-1.082532255910180652e+01,6.444467366750374641e-136
-1.080032255910180616e+01,2.754681459018307315e-135
-1.077532255910180581e+01,1.173520607989334970e-134
-1.075032255910180545e+01,4.982473782664429277e-134
-1.072532255910180510e+01,2.108309083684766263e-133
-1.070032255910180474e+01,8.891161175612722163e-133
-1.067532255910180439e+01,3.736952869879598147e-132
-1.065032255910180403e+01,1.565350807474916699e-131
-1.062532255910180368e+01,6.534925712910530299e-131
-1.060032255910180332e+01,2.718970712928681869e-130
-1.057532255910180297e+01,1.127465585188605000e-129
-1.055032255910180261e+01,4.659474482868271457e-129
-1.052532255910180226e+01,1.919134657559651419e-128
-1.050032255910180190e+01,7.877870093047259636e-128
-1.047532255910180155e+01,3.222901449852095903e-127
-1.045032255910180119e+01,1.314074746808499629e-126
-1.042532255910180083e+01,5.339836182485737684e-126
-1.040032255910180048e+01,2.162572157895827011e-125
-1.037532255910180012e+01,8.728670069848802004e-125
-1.035032255910179977e+01,3.511238535333843260e-124
-1.032532255910179941e+01,1.407691095303615881e-123
-1.030032255910179906e+01,5.624567765593694483e-123
-1.027532255910179870e+01,2.239781703054411355e-122
-1.025032255910179835e+01,8.889083133921451681e-122
-1.022532255910179799e+01,3.515952241230311744e-121
-1.020032255910179764e+01,1.386001428819321447e-120
-1.017532255910179728e+01,5.445265846650559574e-120
-1.015032255910179693e+01,2.132107919166955953e-119
-1.012532255910179657e+01,8.320203568382362763e-119
-1.010032255910179622e+01,3.235887255295060463e-118
-1.007532255910179586e+01,1.254259670616268473e-117
-1.005032255910179551e+01,4.845249765063499241e-117
-1.002532255910179515e+01,1.865432338034884096e-116
-1.000032255910179479e+01,7.157765084847541478e-116
-9.975322559101794440e+00,2.737221704211162231e-115
-9.950322559101794084e+00,1.043222847399317078e-114
-9.925322559101793729e+00,3.962586649362096952e-114
-9.900322559101793374e+00,1.500082026764904006e-113
-9.875322559101793018e+00,5.659600585571434082e-113
-9.850322559101792663e+00,2.128095355284226762e-112
-9.825322559101792308e+00,7.975003760740500495e-112
-9.800322559101791953e+00,2.978552139081845776e-111
-9.775322559101791597e+00,1.108699879358759230e-110
-9.750322559101791242e+00,4.112986297976941606e-110
-9.725322559101790887e+00,1.520670004761308042e-109
-9.700322559101790532e+00,5.603342075073188849e-109
-9.675322559101790176e+00,2.057755248563655351e-108
-9.650322559101789821e+00,7.531382592274948584e-108
-9.625322559101789466e+00,2.747198860567184456e-107
-9.600322559101789111e+00,9.987110739431316246e-107
-9.575322559101788755e+00,3.618461851640486198e-106
-9.550322559101788400e+00,1.306599480103423702e-105
-9.525322559101788045e+00,4.702137213195877973e-105
-9.500322559101787689e+00,1.686484810629588646e-104
-9.475322559101787334e+00,6.028425152040386880e-104
-9.450322559101786979e+00,2.147630680786889256e-103
-9.425322559101786624e+00,7.625171175970909043e-103
-9.400322559101786268e+00,2.698198216084706234e-102
