[2025-04-28 17:00:36] Step 258000/300000, Elapsed: 2649.04 sec
[2025-04-28 17:01:07] Step 261000/300000, Elapsed: 2680.19 sec
[2025-04-28 17:01:38] Step 264000/300000, Elapsed: 2711.29 sec
[2025-04-28 17:02:09] Step 267000/300000, Elapsed: 2742.49 sec
[2025-04-28 17:02:41] Step 270000/300000, Elapsed: 2773.62 sec
[2025-04-28 17:03:12] Step 273000/300000, Elapsed: 2804.77 sec
[2025-04-28 17:03:43] Step 276000/300000, Elapsed: 2835.97 sec
[2025-04-28 17:04:14] Step 279000/300000, Elapsed: 2867.03 sec
[2025-04-28 17:04:45] Step 282000/300000, Elapsed: 2898.26 sec
[2025-04-28 17:05:16] Step 285000/300000, Elapsed: 2929.26 sec
[2025-04-28 17:05:47] Step 288000/300000, Elapsed: 2960.40 sec
[2025-04-28 17:06:19] Step 291000/300000, Elapsed: 2991.64 sec
[2025-04-28 17:06:50] Step 294000/300000, Elapsed: 3022.89 sec
[2025-04-28 17:07:21] Step 297000/300000, Elapsed: 3054.14 sec
[2025-04-28 17:07:52] Step 300000/300000, Elapsed: 3085.28 sec
