[2025-05-02 10:21:32] Step 3000/300000, Elapsed: 6.69 sec
[2025-05-02 10:21:40] Step 6000/300000, Elapsed: 14.96 sec
[2025-05-02 10:21:49] Step 9000/300000, Elapsed: 23.89 sec
[2025-05-02 10:21:58] Step 12000/300000, Elapsed: 32.95 sec
[2025-05-02 10:22:07] Step 15000/300000, Elapsed: 41.90 sec
[2025-05-02 10:22:16] Step 18000/300000, Elapsed: 50.93 sec
[2025-05-02 10:22:25] Step 21000/300000, Elapsed: 59.82 sec
[2025-05-02 10:22:34] Step 24000/300000, Elapsed: 69.06 sec
[2025-05-02 10:22:44] Step 27000/300000, Elapsed: 78.41 sec
[2025-05-02 10:22:53] Step 30000/300000, Elapsed: 88.16 sec
[2025-05-02 10:23:03] Step 33000/300000, Elapsed: 97.46 sec
[2025-05-02 10:23:12] Step 36000/300000, Elapsed: 106.79 sec
[2025-05-02 10:23:21] Step 39000/300000, Elapsed: 115.96 sec
[2025-05-02 10:23:30] Step 42000/300000, Elapsed: 124.98 sec
[2025-05-02 10:23:39] Step 45000/300000, Elapsed: 134.25 sec
[2025-05-02 10:23:48] Step 48000/300000, Elapsed: 143.31 sec
[2025-05-02 10:23:58] Step 51000/300000, Elapsed: 152.37 sec
[2025-05-02 10:24:07] Step 54000/300000, Elapsed: 161.47 sec
[2025-05-02 10:24:16] Step 57000/300000, Elapsed: 170.56 sec
[2025-05-02 10:24:25] Step 60000/300000, Elapsed: 179.94 sec
[2025-05-02 10:24:34] Step 63000/300000, Elapsed: 188.97 sec
[2025-05-02 10:24:44] Step 66000/300000, Elapsed: 199.23 sec
[2025-05-02 10:24:57] Step 69000/300000, Elapsed: 211.81 sec
[2025-05-02 10:25:10] Step 72000/300000, Elapsed: 224.37 sec
[2025-05-02 10:25:23] Step 75000/300000, Elapsed: 237.47 sec
[2025-05-02 10:25:36] Step 78000/300000, Elapsed: 250.48 sec
[2025-05-02 10:25:49] Step 81000/300000, Elapsed: 263.38 sec
[2025-05-02 10:26:01] Step 84000/300000, Elapsed: 276.00 sec
[2025-05-02 10:26:14] Step 87000/300000, Elapsed: 288.65 sec
[2025-05-02 10:26:27] Step 90000/300000, Elapsed: 301.54 sec
[2025-05-02 10:26:39] Step 93000/300000, Elapsed: 314.08 sec
[2025-05-02 10:26:52] Step 96000/300000, Elapsed: 326.61 sec
[2025-05-02 10:27:06] Step 99000/300000, Elapsed: 341.27 sec
[2025-05-02 10:27:22] Step 102000/300000, Elapsed: 357.15 sec
[2025-05-02 10:27:40] Step 105000/300000, Elapsed: 374.88 sec
[2025-05-02 10:27:59] Step 108000/300000, Elapsed: 393.39 sec
[2025-05-02 10:28:17] Step 111000/300000, Elapsed: 412.25 sec
[2025-05-02 10:28:36] Step 114000/300000, Elapsed: 431.24 sec
[2025-05-02 10:28:55] Step 117000/300000, Elapsed: 450.07 sec
[2025-05-02 10:29:14] Step 120000/300000, Elapsed: 468.90 sec
[2025-05-02 10:29:32] Step 123000/300000, Elapsed: 487.29 sec
[2025-05-02 10:29:51] Step 126000/300000, Elapsed: 506.05 sec
[2025-05-02 10:30:09] Step 129000/300000, Elapsed: 523.76 sec
[2025-05-02 10:30:25] Step 132000/300000, Elapsed: 539.95 sec
[2025-05-02 10:30:41] Step 135000/300000, Elapsed: 555.87 sec
[2025-05-02 10:30:57] Step 138000/300000, Elapsed: 571.70 sec
[2025-05-02 10:31:13] Step 141000/300000, Elapsed: 588.28 sec
[2025-05-02 10:31:30] Step 144000/300000, Elapsed: 604.79 sec
[2025-05-02 10:31:46] Step 147000/300000, Elapsed: 620.50 sec
[2025-05-02 10:32:02] Step 150000/300000, Elapsed: 636.51 sec
[2025-05-02 10:32:17] Step 153000/300000, Elapsed: 652.23 sec
[2025-05-02 10:32:33] Step 156000/300000, Elapsed: 667.93 sec
[2025-05-02 10:32:49] Step 159000/300000, Elapsed: 683.68 sec
[2025-05-02 10:33:05] Step 162000/300000, Elapsed: 699.49 sec
[2025-05-02 10:33:20] Step 165000/300000, Elapsed: 715.29 sec
[2025-05-02 10:33:36] Step 168000/300000, Elapsed: 731.03 sec
[2025-05-02 10:33:52] Step 171000/300000, Elapsed: 746.87 sec
[2025-05-02 10:34:08] Step 174000/300000, Elapsed: 762.81 sec
[2025-05-02 10:34:24] Step 177000/300000, Elapsed: 778.60 sec
[2025-05-02 10:34:40] Step 180000/300000, Elapsed: 794.34 sec
[2025-05-02 10:34:55] Step 183000/300000, Elapsed: 810.24 sec
[2025-05-02 10:35:11] Step 186000/300000, Elapsed: 826.03 sec
[2025-05-02 10:35:27] Step 189000/300000, Elapsed: 841.94 sec
[2025-05-02 10:35:43] Step 192000/300000, Elapsed: 857.79 sec
[2025-05-02 10:35:59] Step 195000/300000, Elapsed: 873.71 sec
[2025-05-02 10:36:15] Step 198000/300000, Elapsed: 889.67 sec
[2025-05-02 10:36:31] Step 201000/300000, Elapsed: 905.45 sec
[2025-05-02 10:36:46] Step 204000/300000, Elapsed: 921.13 sec
[2025-05-02 10:37:02] Step 207000/300000, Elapsed: 936.87 sec
[2025-05-02 10:37:18] Step 210000/300000, Elapsed: 952.78 sec
[2025-05-02 10:37:33] Step 213000/300000, Elapsed: 968.30 sec
[2025-05-02 10:37:49] Step 216000/300000, Elapsed: 983.94 sec
[2025-05-02 10:38:05] Step 219000/300000, Elapsed: 999.71 sec
[2025-05-02 10:38:21] Step 222000/300000, Elapsed: 1015.76 sec
[2025-05-02 10:38:37] Step 225000/300000, Elapsed: 1031.71 sec
[2025-05-02 10:38:53] Step 228000/300000, Elapsed: 1047.98 sec
[2025-05-02 10:39:09] Step 231000/300000, Elapsed: 1063.88 sec
[2025-05-02 10:39:25] Step 234000/300000, Elapsed: 1079.52 sec
[2025-05-02 10:39:40] Step 237000/300000, Elapsed: 1095.31 sec
[2025-05-02 10:39:56] Step 240000/300000, Elapsed: 1111.16 sec
[2025-05-02 10:40:12] Step 243000/300000, Elapsed: 1126.83 sec
[2025-05-02 10:40:30] Step 246000/300000, Elapsed: 1144.84 sec
[2025-05-02 10:40:48] Step 249000/300000, Elapsed: 1162.94 sec
[2025-05-02 10:41:06] Step 252000/300000, Elapsed: 1180.91 sec
[2025-05-02 10:41:24] Step 255000/300000, Elapsed: 1198.93 sec
[2025-05-02 10:41:42] Step 258000/300000, Elapsed: 1216.85 sec
[2025-05-02 10:42:00] Step 261000/300000, Elapsed: 1235.01 sec
[2025-05-02 10:42:18] Step 264000/300000, Elapsed: 1252.95 sec
[2025-05-02 10:42:36] Step 267000/300000, Elapsed: 1271.13 sec
[2025-05-02 10:42:54] Step 270000/300000, Elapsed: 1289.17 sec
[2025-05-02 10:43:12] Step 273000/300000, Elapsed: 1307.24 sec
[2025-05-02 10:43:30] Step 276000/300000, Elapsed: 1325.22 sec
[2025-05-02 10:43:48] Step 279000/300000, Elapsed: 1343.27 sec
[2025-05-02 10:44:06] Step 282000/300000, Elapsed: 1361.32 sec
[2025-05-02 10:44:23] Step 285000/300000, Elapsed: 1377.42 sec
[2025-05-02 10:44:39] Step 288000/300000, Elapsed: 1393.58 sec
[2025-05-02 10:44:55] Step 291000/300000, Elapsed: 1409.36 sec
[2025-05-02 10:45:11] Step 294000/300000, Elapsed: 1425.62 sec
[2025-05-02 10:45:27] Step 297000/300000, Elapsed: 1441.54 sec
[2025-05-02 10:45:43] Step 300000/300000, Elapsed: 1457.60 sec
