[2025-05-01 14:15:06] Step 1000/100000, Elapsed: 4.65 sec
[2025-05-01 14:15:11] Step 2000/100000, Elapsed: 9.38 sec
[2025-05-01 14:15:16] Step 3000/100000, Elapsed: 14.82 sec
[2025-05-01 14:15:22] Step 4000/100000, Elapsed: 20.71 sec
[2025-05-01 14:15:28] Step 5000/100000, Elapsed: 26.89 sec
[2025-05-01 14:15:34] Step 6000/100000, Elapsed: 32.85 sec
[2025-05-01 14:15:42] Step 7000/100000, Elapsed: 40.49 sec
[2025-05-01 14:15:48] Step 8000/100000, Elapsed: 46.57 sec
[2025-05-01 14:15:56] Step 9000/100000, Elapsed: 54.94 sec
[2025-05-01 14:16:05] Step 10000/100000, Elapsed: 63.40 sec
[2025-05-01 14:16:13] Step 11000/100000, Elapsed: 71.12 sec
[2025-05-01 14:16:20] Step 12000/100000, Elapsed: 78.87 sec
[2025-05-01 14:16:28] Step 13000/100000, Elapsed: 86.78 sec
[2025-05-01 14:16:37] Step 14000/100000, Elapsed: 95.79 sec
[2025-05-01 14:16:46] Step 15000/100000, Elapsed: 104.28 sec
[2025-05-01 14:16:55] Step 16000/100000, Elapsed: 113.88 sec
[2025-05-01 14:17:05] Step 17000/100000, Elapsed: 123.48 sec
[2025-05-01 14:17:14] Step 18000/100000, Elapsed: 133.08 sec
[2025-05-01 14:17:24] Step 19000/100000, Elapsed: 142.57 sec
[2025-05-01 14:17:34] Step 20000/100000, Elapsed: 152.28 sec
[2025-05-01 14:17:43] Step 21000/100000, Elapsed: 161.80 sec
[2025-05-01 14:17:53] Step 22000/100000, Elapsed: 171.54 sec
[2025-05-01 14:18:02] Step 23000/100000, Elapsed: 181.02 sec
[2025-05-01 14:18:12] Step 24000/100000, Elapsed: 190.55 sec
[2025-05-01 14:18:22] Step 25000/100000, Elapsed: 200.12 sec
[2025-05-01 14:18:31] Step 26000/100000, Elapsed: 209.84 sec
[2025-05-01 14:18:42] Step 27000/100000, Elapsed: 220.46 sec
[2025-05-01 14:18:53] Step 28000/100000, Elapsed: 231.26 sec
[2025-05-01 14:19:03] Step 29000/100000, Elapsed: 241.94 sec
[2025-05-01 14:19:14] Step 30000/100000, Elapsed: 252.59 sec
[2025-05-01 14:19:25] Step 31000/100000, Elapsed: 263.35 sec
[2025-05-01 14:19:35] Step 32000/100000, Elapsed: 274.02 sec
[2025-05-01 14:19:46] Step 33000/100000, Elapsed: 284.75 sec
[2025-05-01 14:19:57] Step 34000/100000, Elapsed: 295.48 sec
[2025-05-01 14:20:08] Step 35000/100000, Elapsed: 306.13 sec
[2025-05-01 14:20:18] Step 36000/100000, Elapsed: 316.81 sec
[2025-05-01 14:20:29] Step 37000/100000, Elapsed: 327.45 sec
[2025-05-01 14:20:40] Step 38000/100000, Elapsed: 338.13 sec
[2025-05-01 14:20:50] Step 39000/100000, Elapsed: 348.95 sec
[2025-05-01 14:21:01] Step 40000/100000, Elapsed: 359.71 sec
[2025-05-01 14:21:12] Step 41000/100000, Elapsed: 370.46 sec
[2025-05-01 14:21:23] Step 42000/100000, Elapsed: 381.14 sec
[2025-05-01 14:21:33] Step 43000/100000, Elapsed: 391.86 sec
[2025-05-01 14:21:44] Step 44000/100000, Elapsed: 402.57 sec
[2025-05-01 14:21:55] Step 45000/100000, Elapsed: 413.34 sec
[2025-05-01 14:22:05] Step 46000/100000, Elapsed: 423.90 sec
[2025-05-01 14:22:16] Step 47000/100000, Elapsed: 434.57 sec
[2025-05-01 14:22:27] Step 48000/100000, Elapsed: 445.21 sec
[2025-05-01 14:22:37] Step 49000/100000, Elapsed: 455.93 sec
[2025-05-01 14:22:48] Step 50000/100000, Elapsed: 466.71 sec
[2025-05-01 14:22:59] Step 51000/100000, Elapsed: 477.46 sec
[2025-05-01 14:23:10] Step 52000/100000, Elapsed: 488.34 sec
[2025-05-01 14:23:21] Step 53000/100000, Elapsed: 499.22 sec
[2025-05-01 14:23:32] Step 54000/100000, Elapsed: 510.13 sec
[2025-05-01 14:23:42] Step 55000/100000, Elapsed: 521.02 sec
[2025-05-01 14:23:53] Step 56000/100000, Elapsed: 531.80 sec
[2025-05-01 14:24:04] Step 57000/100000, Elapsed: 542.52 sec
[2025-05-01 14:24:15] Step 58000/100000, Elapsed: 553.21 sec
[2025-05-01 14:24:25] Step 59000/100000, Elapsed: 563.98 sec
[2025-05-01 14:24:36] Step 60000/100000, Elapsed: 574.85 sec
[2025-05-01 14:24:47] Step 61000/100000, Elapsed: 585.64 sec
[2025-05-01 14:24:58] Step 62000/100000, Elapsed: 596.27 sec
[2025-05-01 14:25:08] Step 63000/100000, Elapsed: 606.98 sec
[2025-05-01 14:25:19] Step 64000/100000, Elapsed: 617.66 sec
[2025-05-01 14:25:30] Step 65000/100000, Elapsed: 628.42 sec
[2025-05-01 14:25:40] Step 66000/100000, Elapsed: 639.10 sec
[2025-05-01 14:25:51] Step 67000/100000, Elapsed: 649.94 sec
[2025-05-01 14:26:02] Step 68000/100000, Elapsed: 660.72 sec
[2025-05-01 14:26:13] Step 69000/100000, Elapsed: 671.30 sec
[2025-05-01 14:26:23] Step 70000/100000, Elapsed: 681.91 sec
[2025-05-01 14:26:34] Step 71000/100000, Elapsed: 692.52 sec
[2025-05-01 14:26:45] Step 72000/100000, Elapsed: 703.24 sec
[2025-05-01 14:26:55] Step 73000/100000, Elapsed: 713.91 sec
[2025-05-01 14:27:06] Step 74000/100000, Elapsed: 724.65 sec
[2025-05-01 14:27:17] Step 75000/100000, Elapsed: 735.34 sec
[2025-05-01 14:27:27] Step 76000/100000, Elapsed: 745.99 sec
[2025-05-01 14:27:38] Step 77000/100000, Elapsed: 756.70 sec
[2025-05-01 14:27:49] Step 78000/100000, Elapsed: 767.45 sec
[2025-05-01 14:28:00] Step 79000/100000, Elapsed: 778.22 sec
[2025-05-01 14:28:10] Step 80000/100000, Elapsed: 788.91 sec
[2025-05-01 14:28:21] Step 81000/100000, Elapsed: 799.55 sec
[2025-05-01 14:28:32] Step 82000/100000, Elapsed: 810.30 sec
[2025-05-01 14:28:42] Step 83000/100000, Elapsed: 820.93 sec
