dist_deg,baz
5.909995269775390625e+01,3.329325286072757422e+02
5.944785308837890625e+01,3.325038061752463250e+02
5.982780838012695312e+01,3.317259331801840858e+02
5.993861389160156250e+01,3.329829364328400061e+02
6.000027084350585938e+01,3.311497476682800425e+02
6.024573516845703125e+01,3.323788756075450124e+02
6.040150451660156250e+01,3.333345937740273257e+02
6.053777313232421875e+01,3.318053177405359406e+02
6.070330810546875000e+01,3.328334676209371992e+02
6.071286010742187500e+01,3.339734319055795595e+02
6.101002502441406250e+01,3.323158540042496725e+02
6.121404266357421875e+01,3.332735404214402593e+02
6.126961898803710938e+01,3.344912608370677845e+02
6.137974166870117188e+01,3.327829256672623615e+02
6.165485763549804688e+01,3.338777074861485517e+02
6.167547607421875000e+01,3.349946738909744113e+02
6.183242416381835938e+01,3.321644832358803683e+02
6.192597579956054688e+01,3.332260773972086554e+02
6.198194503784179688e+01,3.343725193177605206e+02
6.220284271240234375e+01,3.353054555874381890e+02
6.229408645629882812e+01,3.326549771870825793e+02
6.249143981933593750e+01,3.337727177044602058e+02
6.255536651611328125e+01,3.347960746076612395e+02
6.269031524658203125e+01,3.358007509222965155e+02
6.275860595703125000e+01,3.331601944204907113e+02
6.287479019165039062e+01,3.343355609675251685e+02
6.302929687500000000e+01,3.352971816513489784e+02
6.321607208251953125e+01,3.337135283440884450e+02
6.340227127075195312e+01,3.346729506474961795e+02
6.352347946166992188e+01,3.357806572144024813e+02
6.380110549926757812e+01,3.340746412033529964e+02
6.388256835937500000e+01,3.351729103819218949e+02
6.389505386352539062e+01,3.362510315732122308e+02
6.410012054443359375e+01,3.345073284377158984e+02
6.427126312255859375e+01,3.357569731571778675e+02
6.458574676513671875e+01,3.351430450476013334e+02
