[2025-04-29 13:13:12] Step 3000/300000, Elapsed: 10.76 sec
[2025-04-29 13:13:28] Step 6000/300000, Elapsed: 26.50 sec
[2025-04-29 13:13:45] Step 9000/300000, Elapsed: 43.18 sec
[2025-04-29 13:14:01] Step 12000/300000, Elapsed: 59.85 sec
[2025-04-29 13:14:19] Step 15000/300000, Elapsed: 77.85 sec
[2025-04-29 13:14:38] Step 18000/300000, Elapsed: 96.75 sec
[2025-04-29 13:14:57] Step 21000/300000, Elapsed: 115.75 sec
[2025-04-29 13:15:16] Step 24000/300000, Elapsed: 134.73 sec
[2025-04-29 13:15:35] Step 27000/300000, Elapsed: 153.63 sec
[2025-04-29 13:15:54] Step 30000/300000, Elapsed: 172.47 sec
[2025-04-29 13:16:13] Step 33000/300000, Elapsed: 191.36 sec
[2025-04-29 13:16:32] Step 36000/300000, Elapsed: 210.22 sec
[2025-04-29 13:16:51] Step 39000/300000, Elapsed: 229.08 sec
[2025-04-29 13:17:10] Step 42000/300000, Elapsed: 248.08 sec
[2025-04-29 13:17:29] Step 45000/300000, Elapsed: 266.99 sec
[2025-04-29 13:17:47] Step 48000/300000, Elapsed: 285.90 sec
[2025-04-29 13:18:06] Step 51000/300000, Elapsed: 304.88 sec
[2025-04-29 13:18:25] Step 54000/300000, Elapsed: 323.79 sec
[2025-04-29 13:18:44] Step 57000/300000, Elapsed: 342.74 sec
[2025-04-29 13:19:03] Step 60000/300000, Elapsed: 361.68 sec
[2025-04-29 13:19:22] Step 63000/300000, Elapsed: 380.59 sec
[2025-04-29 13:19:41] Step 66000/300000, Elapsed: 399.45 sec
[2025-04-29 13:20:00] Step 69000/300000, Elapsed: 418.37 sec
[2025-04-29 13:20:19] Step 72000/300000, Elapsed: 437.31 sec
[2025-04-29 13:20:38] Step 75000/300000, Elapsed: 456.21 sec
[2025-04-29 13:20:57] Step 78000/300000, Elapsed: 475.14 sec
[2025-04-29 13:21:16] Step 81000/300000, Elapsed: 494.17 sec
[2025-04-29 13:21:35] Step 84000/300000, Elapsed: 513.10 sec
[2025-04-29 13:21:54] Step 87000/300000, Elapsed: 531.96 sec
[2025-04-29 13:22:13] Step 90000/300000, Elapsed: 550.97 sec
[2025-04-29 13:22:31] Step 93000/300000, Elapsed: 569.86 sec
[2025-04-29 13:22:50] Step 96000/300000, Elapsed: 588.75 sec
[2025-04-29 13:23:10] Step 99000/300000, Elapsed: 607.98 sec
[2025-04-29 13:23:29] Step 102000/300000, Elapsed: 627.18 sec
[2025-04-29 13:23:48] Step 105000/300000, Elapsed: 646.21 sec
[2025-04-29 13:24:07] Step 108000/300000, Elapsed: 665.13 sec
[2025-04-29 13:24:26] Step 111000/300000, Elapsed: 683.93 sec
[2025-04-29 13:24:45] Step 114000/300000, Elapsed: 702.96 sec
[2025-04-29 13:25:04] Step 117000/300000, Elapsed: 722.10 sec
[2025-04-29 13:25:23] Step 120000/300000, Elapsed: 741.00 sec
[2025-04-29 13:25:42] Step 123000/300000, Elapsed: 760.43 sec
[2025-04-29 13:26:01] Step 126000/300000, Elapsed: 779.60 sec
[2025-04-29 13:26:20] Step 129000/300000, Elapsed: 798.67 sec
[2025-04-29 13:26:39] Step 132000/300000, Elapsed: 817.48 sec
[2025-04-29 13:26:58] Step 135000/300000, Elapsed: 836.46 sec
[2025-04-29 13:27:17] Step 138000/300000, Elapsed: 855.43 sec
[2025-04-29 13:27:36] Step 141000/300000, Elapsed: 874.23 sec
[2025-04-29 13:27:55] Step 144000/300000, Elapsed: 893.13 sec
[2025-04-29 13:28:14] Step 147000/300000, Elapsed: 912.01 sec
[2025-04-29 13:28:33] Step 150000/300000, Elapsed: 930.92 sec
[2025-04-29 13:28:51] Step 153000/300000, Elapsed: 949.75 sec
[2025-04-29 13:29:10] Step 156000/300000, Elapsed: 968.60 sec
