[2025-05-02 15:00:26] Step 3000/300000, Elapsed: 8.04 sec
[2025-05-02 15:00:35] Step 6000/300000, Elapsed: 17.02 sec
[2025-05-02 15:00:44] Step 9000/300000, Elapsed: 25.91 sec
[2025-05-02 15:00:56] Step 12000/300000, Elapsed: 37.44 sec
[2025-05-02 15:01:10] Step 15000/300000, Elapsed: 51.65 sec
[2025-05-02 15:01:26] Step 18000/300000, Elapsed: 67.43 sec
[2025-05-02 15:01:44] Step 21000/300000, Elapsed: 85.45 sec
[2025-05-02 15:02:02] Step 24000/300000, Elapsed: 103.57 sec
[2025-05-02 15:02:20] Step 27000/300000, Elapsed: 121.73 sec
[2025-05-02 15:02:37] Step 30000/300000, Elapsed: 138.97 sec
[2025-05-02 15:02:53] Step 33000/300000, Elapsed: 154.82 sec
[2025-05-02 15:03:09] Step 36000/300000, Elapsed: 170.89 sec
[2025-05-02 15:03:25] Step 39000/300000, Elapsed: 186.97 sec
[2025-05-02 15:03:41] Step 42000/300000, Elapsed: 202.79 sec
[2025-05-02 15:03:57] Step 45000/300000, Elapsed: 218.61 sec
[2025-05-02 15:04:14] Step 48000/300000, Elapsed: 235.85 sec
[2025-05-02 15:04:32] Step 51000/300000, Elapsed: 253.94 sec
[2025-05-02 15:04:50] Step 54000/300000, Elapsed: 272.14 sec
[2025-05-02 15:05:08] Step 57000/300000, Elapsed: 290.32 sec
[2025-05-02 15:05:25] Step 60000/300000, Elapsed: 306.80 sec
[2025-05-02 15:05:43] Step 63000/300000, Elapsed: 324.82 sec
[2025-05-02 15:06:00] Step 66000/300000, Elapsed: 342.31 sec
[2025-05-02 15:06:18] Step 69000/300000, Elapsed: 359.98 sec
[2025-05-02 15:06:36] Step 72000/300000, Elapsed: 378.02 sec
[2025-05-02 15:06:54] Step 75000/300000, Elapsed: 396.22 sec
[2025-05-02 15:07:12] Step 78000/300000, Elapsed: 414.33 sec
[2025-05-02 15:07:31] Step 81000/300000, Elapsed: 432.47 sec
[2025-05-02 15:07:49] Step 84000/300000, Elapsed: 450.68 sec
[2025-05-02 15:08:07] Step 87000/300000, Elapsed: 468.79 sec
[2025-05-02 15:08:25] Step 90000/300000, Elapsed: 486.93 sec
[2025-05-02 15:08:43] Step 93000/300000, Elapsed: 505.06 sec
[2025-05-02 15:09:01] Step 96000/300000, Elapsed: 523.20 sec
[2025-05-02 15:09:19] Step 99000/300000, Elapsed: 541.34 sec
[2025-05-02 15:09:38] Step 102000/300000, Elapsed: 559.48 sec
[2025-05-02 15:09:56] Step 105000/300000, Elapsed: 577.58 sec
[2025-05-02 15:10:14] Step 108000/300000, Elapsed: 595.68 sec
[2025-05-02 15:10:32] Step 111000/300000, Elapsed: 613.82 sec
[2025-05-02 15:10:50] Step 114000/300000, Elapsed: 631.87 sec
[2025-05-02 15:11:08] Step 117000/300000, Elapsed: 650.01 sec
[2025-05-02 15:11:26] Step 120000/300000, Elapsed: 668.17 sec
[2025-05-02 15:11:44] Step 123000/300000, Elapsed: 686.32 sec
[2025-05-02 15:12:03] Step 126000/300000, Elapsed: 704.55 sec
[2025-05-02 15:12:21] Step 129000/300000, Elapsed: 722.81 sec
[2025-05-02 15:12:39] Step 132000/300000, Elapsed: 740.80 sec
[2025-05-02 15:12:57] Step 135000/300000, Elapsed: 758.84 sec
[2025-05-02 15:13:15] Step 138000/300000, Elapsed: 777.04 sec
[2025-05-02 15:13:33] Step 141000/300000, Elapsed: 795.08 sec
[2025-05-02 15:13:51] Step 144000/300000, Elapsed: 813.11 sec
[2025-05-02 15:14:09] Step 147000/300000, Elapsed: 831.26 sec
[2025-05-02 15:14:28] Step 150000/300000, Elapsed: 849.46 sec
[2025-05-02 15:14:46] Step 153000/300000, Elapsed: 867.79 sec
[2025-05-02 15:15:04] Step 156000/300000, Elapsed: 885.93 sec
[2025-05-02 15:15:22] Step 159000/300000, Elapsed: 904.12 sec
[2025-05-02 15:15:40] Step 162000/300000, Elapsed: 922.28 sec
[2025-05-02 15:15:59] Step 165000/300000, Elapsed: 940.41 sec
[2025-05-02 15:16:17] Step 168000/300000, Elapsed: 958.56 sec
[2025-05-02 15:16:35] Step 171000/300000, Elapsed: 976.65 sec
[2025-05-02 15:16:53] Step 174000/300000, Elapsed: 994.85 sec
[2025-05-02 15:17:11] Step 177000/300000, Elapsed: 1013.12 sec
[2025-05-02 15:17:29] Step 180000/300000, Elapsed: 1031.37 sec
[2025-05-02 15:17:48] Step 183000/300000, Elapsed: 1049.44 sec
[2025-05-02 15:18:06] Step 186000/300000, Elapsed: 1067.64 sec
[2025-05-02 15:18:24] Step 189000/300000, Elapsed: 1085.76 sec
[2025-05-02 15:18:42] Step 192000/300000, Elapsed: 1103.99 sec
[2025-05-02 15:19:00] Step 195000/300000, Elapsed: 1122.14 sec
[2025-05-02 15:19:18] Step 198000/300000, Elapsed: 1140.21 sec
[2025-05-02 15:19:36] Step 201000/300000, Elapsed: 1158.27 sec
[2025-05-02 15:19:55] Step 204000/300000, Elapsed: 1176.67 sec
[2025-05-02 15:20:13] Step 207000/300000, Elapsed: 1195.18 sec
[2025-05-02 15:20:32] Step 210000/300000, Elapsed: 1213.72 sec
[2025-05-02 15:20:50] Step 213000/300000, Elapsed: 1231.87 sec
[2025-05-02 15:21:08] Step 216000/300000, Elapsed: 1250.17 sec
[2025-05-02 15:21:27] Step 219000/300000, Elapsed: 1268.44 sec
[2025-05-02 15:21:45] Step 222000/300000, Elapsed: 1286.68 sec
[2025-05-02 15:22:03] Step 225000/300000, Elapsed: 1305.06 sec
[2025-05-02 15:22:22] Step 228000/300000, Elapsed: 1323.55 sec
[2025-05-02 15:22:40] Step 231000/300000, Elapsed: 1341.77 sec
[2025-05-02 15:22:58] Step 234000/300000, Elapsed: 1360.04 sec
[2025-05-02 15:23:17] Step 237000/300000, Elapsed: 1378.52 sec
[2025-05-02 15:23:35] Step 240000/300000, Elapsed: 1396.65 sec
[2025-05-02 15:23:53] Step 243000/300000, Elapsed: 1414.79 sec
[2025-05-02 15:24:11] Step 246000/300000, Elapsed: 1432.88 sec
[2025-05-02 15:24:29] Step 249000/300000, Elapsed: 1451.29 sec
[2025-05-02 15:24:48] Step 252000/300000, Elapsed: 1469.53 sec
[2025-05-02 15:25:06] Step 255000/300000, Elapsed: 1487.76 sec
[2025-05-02 15:25:24] Step 258000/300000, Elapsed: 1506.12 sec
[2025-05-02 15:25:42] Step 261000/300000, Elapsed: 1524.37 sec
[2025-05-02 15:26:01] Step 264000/300000, Elapsed: 1542.74 sec
[2025-05-02 15:26:19] Step 267000/300000, Elapsed: 1561.10 sec
[2025-05-02 15:26:37] Step 270000/300000, Elapsed: 1579.17 sec
[2025-05-02 15:26:55] Step 273000/300000, Elapsed: 1597.35 sec
[2025-05-02 15:27:14] Step 276000/300000, Elapsed: 1615.71 sec
[2025-05-02 15:27:32] Step 279000/300000, Elapsed: 1633.96 sec
[2025-05-02 15:27:50] Step 282000/300000, Elapsed: 1652.11 sec
[2025-05-02 15:28:08] Step 285000/300000, Elapsed: 1670.37 sec
[2025-05-02 15:28:27] Step 288000/300000, Elapsed: 1688.90 sec
[2025-05-02 15:28:45] Step 291000/300000, Elapsed: 1707.13 sec
[2025-05-02 15:29:03] Step 294000/300000, Elapsed: 1725.36 sec
[2025-05-02 15:29:22] Step 297000/300000, Elapsed: 1743.71 sec
[2025-05-02 15:29:40] Step 300000/300000, Elapsed: 1761.91 sec
